run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s1_l2a_BigBuckBunny,0,22.577512,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2,14627555.5,3.721,2334969.0,3.684,0.102,3.582,5.070508
CONT_s1_l2a_BigBuckBunny,1,5.920944,3,2488786.333,0.069333,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,5,7344294.0,1.53,3289631.0,3.687,0.105,3.582,7.137794
CONT_s1_l2a_BigBuckBunny,2,3.029341,2,1878426.0,0.051,5,2244642.2,0.062,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,7,5782617.429,1.107429,750163.0,4.099,0.0,4.099,1.46409
CONT_s1_l2a_BigBuckBunny,3,2.481361,3,1033716.667,0.068,5,1371600.4,0.0612,8,1790545.125,0.06425,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,16992.0,0.512,0.102,0.41,0.2655
CONT_s1_l2a_BigBuckBunny,4,0.246258,0,0.0,0.0,3,1033716.667,0.068,5,1371600.4,0.0612,8,1790545.125,0.06425,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,16992.0,0.512,0.102,0.41,0.2655
CONT_s1_l2a_BigBuckBunny,5,0.240981,0,0.0,0.0,0,0.0,0.0,3,1033716.667,0.068,5,1371600.4,0.0612,8,1790545.125,0.06425,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,10,4357947.2,0.7956,16992.0,0.512,0.102,0.41,0.2655
CONT_s1_l2a_BigBuckBunny,6,0.349299,0,0.0,0.0,1,752964.0,20.512,1,752964.0,20.512,3,335706.333,8.967667,4,635952.5,15.17975,4,635952.5,15.17975,4,635952.5,15.17975,6,725855.333,10.136833,8,799390.375,7.615375,11,1363630.727,5.566636,14,3294520.143,4.905357,14,3294520.143,4.905357,14,3294520.143,4.905357,14,3294520.143,4.905357,14,3294520.143,4.905357,14,3294520.143,4.905357,14,3294520.143,4.905357,14,3294520.143,4.905357,14,3294520.143,4.905357,14,3294520.143,4.905357,752964.0,21.027,20.512,0.515,0.286475
CONT_s1_l2a_BigBuckBunny,7,0.738686,0,0.0,0.0,1,523022.0,14.14,2,637993.0,17.326,2,637993.0,17.326,3,465428.333,12.582,5,613366.4,14.9718,5,613366.4,14.9718,5,613366.4,14.9718,6,513970.667,12.4935,8,770997.75,9.382875,11,1201315.0,6.842727,13,1337784.077,5.797923,15,3109753.6,5.521,15,3109753.6,5.521,15,3109753.6,5.521,15,3109753.6,5.521,15,3109753.6,5.521,15,3109753.6,5.521,15,3109753.6,5.521,15,3109753.6,5.521,523022.0,14.659,14.14,0.519,0.285434
CONT_s1_l2a_BigBuckBunny,8,0.829947,0,0.0,0.0,0,0.0,0.0,1,523022.0,14.14,2,637993.0,17.326,2,637993.0,17.326,3,465428.333,12.582,5,613366.4,14.9718,5,613366.4,14.9718,5,613366.4,14.9718,6,513970.667,12.4935,8,770997.75,9.382875,11,1201315.0,6.842727,13,1337784.077,5.797923,15,3109753.6,5.521,15,3109753.6,5.521,15,3109753.6,5.521,15,3109753.6,5.521,15,3109753.6,5.521,15,3109753.6,5.521,15,3109753.6,5.521,523022.0,14.659,14.14,0.519,0.285434
CONT_s1_l2a_BigBuckBunny,9,0.697459,2,1564348.0,14.0805,2,1564348.0,14.0805,2,1564348.0,14.0805,3,1217239.333,14.100333,4,1101170.5,15.70325,4,1101170.5,15.70325,5,904996.2,13.1814,7,885075.429,14.717143,7,885075.429,14.717143,7,885075.429,14.717143,8,776565.0,12.89025,10,929667.8,10.3224,13,1257166.231,7.956231,15,1367992.6,6.902267,17,2927941.176,6.528,17,2927941.176,6.528,17,2927941.176,6.528,17,2927941.176,6.528,17,2927941.176,6.528,17,2927941.176,6.528,245885.0,3.936,1.451,2.485,0.499766
