run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s1_l2a_BigBuckBunny,0,22.577512,23283.0,28795173.0,47.0,0.47,0.166,0.68,9.396,22.491836,24.516963,1402042.993856,17784384.143149,287951.73,987204617850.1584,993581.711713,3.450515,3.628673,11.887577,0.0,5032574.0,232.83,640537.799091,800.336054,3.437427,3.614619,11.764837,0.0,4027.0,23283.0,28795173.0,47.0,0.47,0.166,0.68,9.396,22.491836,24.516963,1402042.993856,17784384.143149,287951.73,987204617850.1584,993581.711713,3.450515,3.628673,11.887577,0.0,5032574.0,232.83,640537.799091,800.336054,3.437427,3.614619,11.764837,0.0,4027.0,23283.0,28795173.0,47.0,0.47,0.166,0.68,9.396,22.491836,24.516963,1402042.993856,17784384.143149,287951.73,987204617850.1584,993581.711713,3.450515,3.628673,11.887577,0.0,5032574.0,232.83,640537.799091,800.336054,3.437427,3.614619,11.764837,0.0,4027.0,0
CONT_s1_l2a_BigBuckBunny,1,5.920944,6017.0,7467064.0,10.0,0.102041,0.448,0.644,8.908,5.973651,6.70594,603396.713979,469943.564521,76194.530612,117270038645.44751,342447.132628,4.494379,4.527201,19.591311,0.0,2005103.0,61.397959,76068.530717,275.805241,4.492091,4.529344,19.610617,0.0,1615.0,29300.0,36262237.0,57.0,0.287879,0.166,0.644,19.432,14.331484,14.928875,801035.669184,20464093.374802,183142.611111,565116037890.3306,751742.002212,4.104681,4.734411,22.538359,0.0,5032574.0,147.979798,366733.471671,605.585231,4.092351,4.718577,22.345677,0.0,4027.0,29300.0,36262237.0,57.0,0.287879,0.166,0.644,19.432,14.331484,14.928875,801035.669184,20464093.374802,183142.611111,565116037890.3306,751742.002212,4.104681,4.734411,22.538359,0.0,5032574.0,147.979798,366733.471671,605.585231,4.092351,4.718577,22.345677,0.0,4027.0,1
CONT_s1_l2a_BigBuckBunny,2,3.029341,3028.0,3757557.0,8.0,0.082474,1.401,0.61,7.989,3.006046,3.762731,431972.831027,421063.307433,38737.701031,72574664047.94093,269396.852335,6.954384,8.331564,72.225537,0.0,2510790.0,31.216495,46755.296392,216.229731,6.926778,8.30921,71.888014,0.0,2013.0,32328.0,40019794.0,65.0,0.220339,0.166,0.61,29.466,10.586547,10.865348,708296.941326,21261122.754742,135660.318644,406981799644.4558,637951.251777,4.702563,5.5712,32.176621,0.0,5032574.0,109.586441,264022.529067,513.831226,4.688821,5.554771,31.939113,0.0,4027.0,32328.0,40019794.0,65.0,0.220339,0.166,0.61,29.466,10.586547,10.865348,708296.941326,21261122.754742,135660.318644,406981799644.4558,637951.251777,4.702563,5.5712,32.176621,0.0,5032574.0,109.586441,264022.529067,513.831226,4.688821,5.554771,31.939113,0.0,4027.0,2
CONT_s1_l2a_BigBuckBunny,3,2.481361,2567.0,3143983.0,17.0,0.173469,0.723,0.063,9.214,2.515186,2.729744,318303.471433,629355.254844,32081.459184,49307645716.66328,222053.249732,6.921545,7.05936,49.035372,0.0,1794330.0,26.193878,32021.456869,178.945402,6.831574,7.057263,49.008734,0.0,1446.0,11612.0,14368604.0,35.0,0.119454,0.448,0.063,29.489,3.831628,3.898024,493944.680597,1583186.085545,49039.604096,79575152735.1167,282090.681759,5.752303,6.270463,40.654368,0.0,2510790.0,39.631399,51521.34312,226.983134,5.727356,6.259898,40.472528,0.0,2013.0,34895.0,43163777.0,82.0,0.208651,0.166,0.063,40.013,8.580841,8.629951,592637.300953,22600616.627679,109831.493639,319450791324.96985,565199.780011,5.146063,6.226283,41.146742,0.0,5032574.0,88.791349,207245.614517,455.242369,5.127103,6.208315,40.8515,0.0,4027.0,3
CONT_s1_l2a_BigBuckBunny,4,0.246258,445.0,309427.0,91.0,0.928571,0.142,0.01,9.848,0.247542,0.251362,30637.368521,5100.827271,3157.418367,2812363.421102,1677.010263,0.531133,1.988136,8.915282,0.0,10894.0,4.540816,6.704502,2.589305,0.570229,1.494867,4.363766,0.0,15.0,6040.0,7210967.0,116.0,0.395904,1.401,0.01,28.589,1.922925,2.01783,228790.547493,1778271.21382,24610.808874,40480185356.826416,201196.882075,8.175143,9.863738,103.748481,0.0,2510790.0,20.614334,26145.593903,161.695992,7.843862,9.834585,103.094419,0.0,2013.0,35340.0,43473204.0,173.0,0.352342,0.166,0.01,50.066,6.922209,6.946543,472554.092448,24400599.95684,88540.130346,257382814162.04407,507329.098478,5.729934,7.009892,52.544899,0.0,5032574.0,71.97556,166934.101442,408.575699,5.676589,6.990434,52.184489,0.0,4027.0,4
CONT_s1_l2a_BigBuckBunny,5,0.240981,399.0,300305.0,95.0,0.979381,0.093,0.042,9.865,0.240244,0.243532,30213.061766,2984.234177,3095.927835,1123785.525988,1060.087509,0.342414,-0.310521,1.650172,0.0,6142.0,4.113402,2.414089,1.553734,0.377725,0.212201,0.230285,0.0,8.0,3411.0,3753715.0,203.0,0.692833,0.723,0.042,29.235,1.000991,1.027184,76029.484887,1899342.597949,12811.313993,16568159489.942165,128717.362815,10.047163,12.444171,156.385105,0.0,1794330.0,11.641638,10747.107438,103.668257,8.904954,12.434302,156.209292,0.0,1446.0,35739.0,43773509.0,268.0,0.455782,0.166,0.042,60.034,5.813022,5.833162,376366.087423,26157952.266806,74444.743197,215858657679.38702,464605.916535,6.24095,7.707572,63.829384,0.0,5032574.0,60.780612,139984.60085,374.14516,6.155666,7.686651,63.403064,0.0,4027.0,5
CONT_s1_l2a_BigBuckBunny,6,0.349299,2597.0,2356479.0,447.0,0.853053,0.267,0.008,53.705,0.349237,0.351026,37837.41784,347373.038085,4497.097328,352498797.977125,18774.951344,4.174904,22.035975,495.02663,0.0,428442.0,4.956107,224.581244,14.986035,3.023751,21.579377,481.361574,0.0,341.0,3441.0,2966211.0,633.0,0.880389,0.142,0.008,73.83,0.320758,0.32141,41971.863793,-25660.404245,4125.467316,257666540.374627,16051.994903,3.890952,25.74624,677.96734,0.0,428442.0,4.785814,164.906707,12.841601,2.683264,25.015598,652.350001,0.0,341.0,38336.0,46129988.0,715.0,0.642986,0.166,0.008,114.048,3.2309,3.23583,159754.86283,31980217.783706,41483.802158,115435685495.1849,339758.275094,8.190143,10.697886,124.466336,0.0,5032574.0,34.47482,74844.193785,273.576669,7.93555,10.670411,123.685326,0.0,4027.0,6
CONT_s1_l2a_BigBuckBunny,7,0.738686,1344.0,1280441.0,124.0,0.925373,0.096,0.003,13.762,0.739018,0.744334,98756.507405,-101292.029472,9555.529851,19844215.273538,4454.684644,0.466189,-0.498006,0.187893,0.0,20942.0,10.029851,21.517899,4.638739,0.462493,-0.393795,0.478752,0.0,25.0,4340.0,3937225.0,666.0,0.882119,0.093,0.003,77.745,0.404643,0.405142,43982.227548,42945.762397,5214.86755,252432703.868375,15888.130912,3.046699,25.095791,665.674805,0.0,428442.0,5.748344,163.918018,12.803047,2.227258,23.846269,621.39123,0.0,341.0,39680.0,47410429.0,839.0,0.673355,0.166,0.003,127.914,2.961232,2.965144,138863.778938,32817197.773223,38050.103531,103111322668.12979,321109.518184,8.439123,11.339629,140.034026,0.0,5032574.0,31.845907,66848.371417,258.55052,8.118799,11.310329,139.157528,0.0,4027.0,7
CONT_s1_l2a_BigBuckBunny,8,0.829947,1084.0,1031123.0,95.0,0.989583,0.101,0.062,9.837,0.824898,0.838567,103691.78952,8799.099313,10740.864583,17777677.528838,4216.358325,0.392553,-0.182298,0.456158,0.0,21216.0,11.291667,13.619298,3.690433,0.326828,-0.385797,0.929842,0.0,21.0,5025.0,4668043.0,666.0,0.883289,0.267,0.062,77.512,0.479752,0.481788,49558.25282,76895.521453,6191.038462,257228097.888293,16038.332142,2.590572,24.261128,635.908508,0.0,428442.0,6.664456,168.279027,12.972241,1.946481,22.766275,583.786911,0.0,341.0,40764.0,48441552.0,934.0,0.695976,0.166,0.062,137.855,2.806518,2.81116,129126.916922,33246716.387864,36096.536513,95780581830.80807,309484.380593,8.573797,11.777889,151.188096,0.0,5032574.0,30.375559,62091.851393,249.182366,8.203384,11.747386,150.244232,0.0,4027.0,8
CONT_s1_l2a_BigBuckBunny,9,0.697459,890.0,875625.0,64.0,0.659794,0.042,1.882,8.076,0.7005,0.867385,96788.565822,38984.941696,9027.061856,64260044.621134,8016.236313,0.888023,0.197822,-1.0714,0.0,31766.0,9.175258,64.562715,8.035093,0.875735,0.264566,-0.648127,0.0,35.0,3318.0,3187189.0,283.0,0.865443,0.096,1.882,31.883,0.753005,0.799721,102461.230507,-123459.831174,9746.755352,32659934.308062,5714.887077,0.586337,-0.117389,-0.039701,0.0,31766.0,10.146789,32.432375,5.694943,0.561256,-0.141433,0.514476,0.0,35.0,41654.0,49317177.0,998.0,0.693537,0.166,1.882,146.035,2.664299,2.701663,122088.684316,33580599.867936,34271.839472,89370108065.07916,298948.336783,8.722856,12.204059,162.444312,0.0,5032574.0,28.946491,57936.042336,240.69907,8.315311,12.172023,161.424935,0.0,4027.0,9
