run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s1_l2a_RedBullPlayStreets,0,0.0,1789850842.02,1789850852.02,43.408046,98.737533,0.0,372.690436,54610325,44008,6,98,5.877326,31.704769,0.0,0,0.0,0.0,0.0,0,0.0,8.221232,30.890996,134.393888,43.408046,0.0,44008,43.530679,0.997183,54610325,0.622449
CONT_s1_l2a_RedBullPlayStreets,1,10.0,1789850852.02,1789850862.02,4.872929,24.815959,0.0,166.118516,6178071,4973,2,99,0.20086,0.275802,0.0,0,0.0,0.0,0.0,0,0.0,0.000735,0.002752,0.011037,-38.535117,0.112259,-39035,24.102533,0.202175,60788396,0.909091
CONT_s1_l2a_RedBullPlayStreets,2,20.0,1789850862.02,1789850872.02,7.66413,30.785961,0.0,163.590225,9716094,7818,2,99,0.219962,0.267537,0.0,0,0.0,0.0,0.0,0,0.0,8.288024,31.050399,130.591484,2.791201,1.572797,2845,18.607555,0.411883,70504490,0.888889
CONT_s1_l2a_RedBullPlayStreets,3,30.0,1789850872.02,1789850882.02,4.155909,25.865726,0.0,206.495171,5211388,4196,2,98,0.208086,0.343016,0.0,0,0.0,0.0,0.0,0,0.0,0.000733,0.002742,0.011037,-3.508221,0.542255,-3622,15.009962,0.276877,75715878,0.908163
CONT_s1_l2a_RedBullPlayStreets,4,40.0,1789850882.02,1789850892.02,0.239935,0.248922,0.0,1.330254,304339,383,3,99,49.973349,143.517142,0.0,0,0.0,0.0,0.0,0,0.234995,0.237469,0.130913,0.583984,-3.915974,0.057733,-3813,12.041686,0.019925,76020217,0.252525
CONT_s1_l2a_RedBullPlayStreets,5,50.0,1789850892.02,1789850902.02,0.240896,0.108127,0.0,0.597354,302949,360,4,98,77.54972,200.742334,0.0,0,0.0,0.0,0.0,0,0.243813,0.244359,0.066256,0.356683,0.000961,1.004005,-23,10.081155,0.023896,76323166,0.040816
CONT_s1_l2a_RedBullPlayStreets,6,60.0,1789850902.02,1789850912.02,0.292595,0.212322,0.0,1.624405,368877,419,4,98,106.703916,328.809241,0.0,0,0.0,0.0,0.0,0,0.347779,0.294318,0.174926,0.728854,0.051699,1.214611,59,8.683675,0.033695,76692043,0.081633
CONT_s1_l2a_RedBullPlayStreets,7,70.0,1789850912.02,1789850922.02,0.291862,0.142421,0.0,0.830107,369059,430,4,98,118.530634,330.061458,0.0,0,0.0,0.0,0.0,0,0.346667,0.289492,0.197163,0.830107,-0.000733,0.997495,11,7.6324,0.03824,77061102,0.061224
CONT_s1_l2a_RedBullPlayStreets,8,80.0,1789850922.02,1789850932.02,0.280572,0.169407,0.0,1.183016,355205,460,3,98,33.203415,64.390374,0.0,0,0.0,0.0,0.0,0,0.122749,0.287507,0.097596,0.458744,-0.01129,0.961317,30,6.813541,0.041179,77416307,0.102041
CONT_s1_l2a_RedBullPlayStreets,9,90.0,1789850932.02,1789850942.02,0.291983,0.118857,0.0,0.701354,369563,467,3,98,24.947444,36.818885,0.0,0,0.0,0.0,0.0,0,0.366977,0.297514,0.116015,0.48907,0.011411,1.04067,7,6.15986,0.047401,77785870,0.030612
CONT_s1_l2a_RedBullPlayStreets,10,100.0,1789850942.02,1789850952.02,0.276569,0.158665,0.0,1.167273,350183,417,3,98,39.097442,55.921375,0.0,0,0.0,0.0,0.0,0,0.015644,0.287249,0.125922,0.578277,-0.015414,0.947209,-50,5.623731,0.049179,78136053,0.071429
