run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
CONT_s1_throughput_RedBullPlayStreets,1789856937.747,0.1001,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856937.848,0.1014,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856937.951,0.1026,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856938.052,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856938.154,0.1013,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856938.255,0.1013,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856938.356,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856938.458,0.1015,141,1,0,0.0,0,1
CONT_s1_throughput_RedBullPlayStreets,1789856938.559,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856938.661,0.1014,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856938.762,0.1014,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856938.864,0.1016,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856938.965,0.1016,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856939.067,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856939.169,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856939.27,0.1016,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856939.372,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856939.473,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856939.575,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856939.677,0.1016,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856939.778,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856939.88,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856939.982,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856940.083,0.1016,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856940.185,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856940.286,0.1016,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856940.388,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856940.49,0.1017,141,1,0,0.0,0,1
CONT_s1_throughput_RedBullPlayStreets,1789856940.591,0.1016,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856940.693,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856940.794,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856940.896,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856940.997,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856941.099,0.1014,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856941.2,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856941.302,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856941.403,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856941.505,0.1016,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856941.607,0.1016,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856941.708,0.1014,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856941.81,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856941.911,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856942.013,0.1016,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856942.114,0.1014,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856942.216,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856942.317,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856942.419,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856942.521,0.1016,141,1,0,113205.0,0,1
CONT_s1_throughput_RedBullPlayStreets,1789856942.622,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856942.724,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856942.825,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856942.927,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856943.029,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856943.13,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856943.232,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856943.333,0.1018,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856943.436,0.1024,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856943.537,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856943.639,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856943.74,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856943.842,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856943.945,0.103,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856944.047,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856944.148,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856944.25,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856944.352,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856944.453,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856944.555,0.1015,141,1,0,525295.0,0,1
CONT_s1_throughput_RedBullPlayStreets,1789856944.656,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856944.758,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856944.859,0.1017,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856944.961,0.1016,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856945.062,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856945.164,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856945.265,0.1015,0,0,0,0,0,0
CONT_s1_throughput_RedBullPlayStreets,1789856945.367,0.1017,0,0,0,0,0,0
