run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s3_throughput_RedBullPlayStreets,0,0.301085,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,13228.0,0.41,0.0,0.41,0.258107
CONT_s3_throughput_RedBullPlayStreets,1,0.302371,0,0.0,0.0,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,4,144691.0,3.40725,13228.0,0.41,0.0,0.41,0.258107
CONT_s3_throughput_RedBullPlayStreets,2,0.331118,2,235407.5,5.7895,2,235407.5,5.7895,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,14752.0,0.41,0.0,0.41,0.287844
CONT_s3_throughput_RedBullPlayStreets,3,0.330362,0,0.0,0.0,2,235407.5,5.7895,2,235407.5,5.7895,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,14752.0,0.41,0.0,0.41,0.287844
CONT_s3_throughput_RedBullPlayStreets,4,0.344081,0,0.0,0.0,0,0.0,0.0,2,235407.5,5.7895,2,235407.5,5.7895,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,6,174929.833,4.201333,14752.0,0.41,0.0,0.41,0.287844
CONT_s3_throughput_RedBullPlayStreets,5,0.630251,1,1286879.0,28.932,1,1286879.0,28.932,1,1286879.0,28.932,3,585898.0,13.503667,3,585898.0,13.503667,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,7,333779.714,7.734286,1286879.0,30.474,28.932,1.542,0.33783
CONT_s3_throughput_RedBullPlayStreets,6,0.738229,1,1444558.0,15.31,2,1365718.5,22.121,2,1365718.5,22.121,2,1365718.5,22.121,4,800563.0,13.95525,4,800563.0,13.95525,8,472627.0,8.68125,8,472627.0,8.68125,8,472627.0,8.68125,8,472627.0,8.68125,8,472627.0,8.68125,8,472627.0,8.68125,8,472627.0,8.68125,8,472627.0,8.68125,8,472627.0,8.68125,8,472627.0,8.68125,8,472627.0,8.68125,8,472627.0,8.68125,8,472627.0,8.68125,8,472627.0,8.68125,1444558.0,15.824,15.31,0.514,0.730312
CONT_s3_throughput_RedBullPlayStreets,7,0.659975,2,495546.0,4.9975,3,811883.333,8.435,4,930632.25,13.55925,4,930632.25,13.55925,4,930632.25,13.55925,6,698890.667,10.969333,6,698890.667,10.969333,10,477210.8,7.9445,10,477210.8,7.9445,10,477210.8,7.9445,10,477210.8,7.9445,10,477210.8,7.9445,10,477210.8,7.9445,10,477210.8,7.9445,10,477210.8,7.9445,10,477210.8,7.9445,10,477210.8,7.9445,10,477210.8,7.9445,10,477210.8,7.9445,10,477210.8,7.9445,226374.0,4.124,2.166,1.958,0.439135
CONT_s3_throughput_RedBullPlayStreets,8,0.50513,2,204736.5,1.4965,4,350141.25,3.247,5,569024.6,5.6596,6,688667.0,9.538333,6,688667.0,9.538333,6,688667.0,9.538333,8,575352.125,8.601125,8,575352.125,8.601125,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,195844.0,4.024,0.927,3.097,0.389352
CONT_s3_throughput_RedBullPlayStreets,9,1.553333,0,0.0,0.0,2,204736.5,1.4965,4,350141.25,3.247,5,569024.6,5.6596,6,688667.0,9.538333,6,688667.0,9.538333,6,688667.0,9.538333,8,575352.125,8.601125,8,575352.125,8.601125,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,12,431798.417,6.869833,195844.0,4.024,0.927,3.097,0.389352
