run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s4_dynamic_BigBuckBunny,0,0.252963,4,91180.25,2.45375,5,124987.4,3.517,8,119257.875,3.4225,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,9,107576.111,3.155,79715.0,2.456,2.045,0.411,0.259658
CONT_s4_dynamic_BigBuckBunny,1,0.329473,4,47058.25,1.074,8,69119.25,1.763875,9,90352.222,2.431222,12,95191.333,2.639667,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,13,88955.231,2.514692,14812.0,0.51,0.102,0.408,0.232345
CONT_s4_dynamic_BigBuckBunny,2,0.159782,3,158653.0,2.657667,7,94884.571,1.752714,11,93537.545,2.007636,12,107427.417,2.487833,15,107883.667,2.643267,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,16,102023.562,2.5415,78001.0,4.091,1.022,3.069,0.152532
CONT_s4_dynamic_BigBuckBunny,3,0.15191,3,62736.667,0.818333,6,110694.833,1.738,10,85240.2,1.4724,14,86937.357,1.752786,15,98489.267,2.153933,18,100359.167,2.339111,19,95820.368,2.269421,19,95820.368,2.269421,19,95820.368,2.269421,19,95820.368,2.269421,19,95820.368,2.269421,19,95820.368,2.269421,19,95820.368,2.269421,19,95820.368,2.269421,19,95820.368,2.269421,19,95820.368,2.269421,19,95820.368,2.269421,19,95820.368,2.269421,19,95820.368,2.269421,19,95820.368,2.269421,62445.0,4.191,0.715,3.476,0.119198
CONT_s4_dynamic_BigBuckBunny,4,0.192639,1,68623.0,1.022,4,64208.25,0.86925,7,104684.571,1.635714,11,83729.545,1.431455,15,85716.4,1.704067,16,96622.625,2.083188,19,98688.842,2.269789,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,68623.0,3.988,1.022,2.966,0.137659
CONT_s4_dynamic_BigBuckBunny,5,0.479416,0,0.0,0.0,1,68623.0,1.022,4,64208.25,0.86925,7,104684.571,1.635714,11,83729.545,1.431455,15,85716.4,1.704067,16,96622.625,2.083188,19,98688.842,2.269789,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,68623.0,3.988,1.022,2.966,0.137659
CONT_s4_dynamic_BigBuckBunny,6,0.614941,0,0.0,0.0,0,0.0,0.0,1,68623.0,1.022,4,64208.25,0.86925,7,104684.571,1.635714,11,83729.545,1.431455,15,85716.4,1.704067,16,96622.625,2.083188,19,98688.842,2.269789,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,68623.0,3.988,1.022,2.966,0.137659
CONT_s4_dynamic_BigBuckBunny,7,0.611916,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,68623.0,1.022,4,64208.25,0.86925,7,104684.571,1.635714,11,83729.545,1.431455,15,85716.4,1.704067,16,96622.625,2.083188,19,98688.842,2.269789,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,68623.0,3.988,1.022,2.966,0.137659
CONT_s4_dynamic_BigBuckBunny,8,0.606279,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,68623.0,1.022,4,64208.25,0.86925,7,104684.571,1.635714,11,83729.545,1.431455,15,85716.4,1.704067,16,96622.625,2.083188,19,98688.842,2.269789,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,20,94460.5,2.20705,68623.0,3.988,1.022,2.966,0.137659
CONT_s4_dynamic_BigBuckBunny,9,0.490936,1,3289802.0,45.647,1,3289802.0,45.647,1,3289802.0,45.647,1,3289802.0,45.647,1,3289802.0,45.647,2,1679212.5,23.3345,5,709327.0,9.8248,8,502824.25,7.137125,12,350902.25,5.116083,16,285971.75,4.4505,17,284456.706,4.645765,20,258244.5,4.43865,21,246619.619,4.275619,21,246619.619,4.275619,21,246619.619,4.275619,21,246619.619,4.275619,21,246619.619,4.275619,21,246619.619,4.275619,21,246619.619,4.275619,21,246619.619,4.275619,3289802.0,47.712,45.647,2.065,0.55161
CONT_s4_dynamic_BigBuckBunny,10,1.204551,3,630635.667,2.338333,4,1295427.25,13.1655,4,1295427.25,13.1655,4,1295427.25,13.1655,4,1295427.25,13.1655,4,1295427.25,13.1655,5,1050066.4,10.7368,8,679817.75,7.017375,11,537681.909,5.828364,15,406848.933,4.560533,19,340392.368,4.117,20,336383.55,4.29965,23,306817.261,4.164696,24,294621.625,4.033458,24,294621.625,4.033458,24,294621.625,4.033458,24,294621.625,4.033458,24,294621.625,4.033458,24,294621.625,4.033458,24,294621.625,4.033458,294051.0,3.508,0.206,3.302,0.670584
CONT_s4_dynamic_BigBuckBunny,11,0.723893,3,302142.667,0.069333,6,466389.167,1.203833,7,869733.857,7.552857,7,869733.857,7.552857,7,869733.857,7.552857,7,869733.857,7.552857,7,869733.857,7.552857,8,769595.0,6.7365,11,576815.455,5.122455,14,487209.214,4.594286,18,389397.889,3.812,22,335176.5,3.565045,23,331917.348,3.74787,26,306277.885,3.692154,27,295457.296,3.593,27,295457.296,3.593,27,295457.296,3.593,27,295457.296,3.593,27,295457.296,3.593,27,295457.296,3.593,306006.0,4.126,0.0,4.126,0.593322
CONT_s4_dynamic_BigBuckBunny,12,1.472912,6,284555.0,0.517333,9,290417.556,0.368,12,375472.083,0.860583,13,599651.308,4.305692,13,599651.308,4.305692,13,599651.308,4.305692,13,599651.308,4.305692,13,599651.308,4.305692,14,561720.714,4.071143,17,473664.706,3.497118,20,426412.95,3.3712,24,363187.167,2.988333,28,324329.036,2.911964,29,322118.241,3.079483,32,302204.844,3.096875,33,293475.061,3.033788,33,293475.061,3.033788,33,293475.061,3.033788,33,293475.061,3.033788,33,293475.061,3.033788,136480.0,0.723,0.31,0.413,1.510152
CONT_s4_dynamic_BigBuckBunny,13,2.238204,4,241536.5,0.465,10,267347.6,0.4964,13,275377.231,0.397846,16,341988.188,0.761688,17,515389.0,3.402,17,515389.0,3.402,17,515389.0,3.402,17,515389.0,3.402,17,515389.0,3.402,18,490568.667,3.269778,21,429449.81,2.919571,24,395600.208,2.886833,28,345808.5,2.627857,32,313979.969,2.606094,33,312350.758,2.762576,36,295463.917,2.804444,37,287860.081,2.756081,37,287860.081,2.756081,37,287860.081,2.756081,37,287860.081,2.756081,136480.0,0.723,0.31,0.413,1.510152
CONT_s4_dynamic_BigBuckBunny,14,1.969552,0,0.0,0.0,4,241536.5,0.465,10,267347.6,0.4964,13,275377.231,0.397846,16,341988.188,0.761688,17,515389.0,3.402,17,515389.0,3.402,17,515389.0,3.402,17,515389.0,3.402,17,515389.0,3.402,18,490568.667,3.269778,21,429449.81,2.919571,24,395600.208,2.886833,28,345808.5,2.627857,32,313979.969,2.606094,33,312350.758,2.762576,36,295463.917,2.804444,37,287860.081,2.756081,37,287860.081,2.756081,37,287860.081,2.756081,136480.0,0.723,0.31,0.413,1.510152
