run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s4_l2a_BigBuckBunny,0,0.0,1789923746.137,1789923756.137,0.251581,0.293968,0.0,1.273118,318281,364,3,99,38.007752,82.477943,0.0,0,0.0,0.0,0.0,0,0.239843,0.253407,0.201192,1.155808,0.251581,0.0,364,0.251583,0.999992,318281,0.333333
CONT_s4_l2a_BigBuckBunny,1,10.0,1789923756.137,1789923766.137,0.250159,0.297618,0.0,1.158319,313761,355,3,98,35.567006,68.81135,0.0,0,0.0,0.0,0.0,0,0.498648,0.247213,0.280636,1.129187,-0.001422,0.994348,-9,0.251051,0.996447,632042,0.326531
CONT_s4_l2a_BigBuckBunny,2,20.0,1789923766.137,1789923776.137,0.332961,0.348937,0.0,2.196435,421413,472,3,99,38.570967,69.746251,0.0,0,0.0,0.0,0.0,0,0.250724,0.51337,0.473097,2.196435,0.082802,1.330997,117,0.278455,1.195744,1053455,0.232323
CONT_s4_l2a_BigBuckBunny,3,30.0,1789923776.137,1789923786.688,0.473446,0.225967,0.0,1.44666,629246,752,3,104,21.681563,37.161699,0.0,0,0.0,0.0,0.0,0,0.239765,0.463704,0.34268,1.44666,0.140485,1.421926,280,0.32916,1.438346,1682701,0.067308
CONT_s4_l2a_BigBuckBunny,4,40.0,1789923786.688,1789923797.241,0.473121,0.239973,0.0,1.281725,635007,725,3,105,25.292854,36.281255,0.0,0,0.0,0.0,0.0,0,0.576766,0.469576,0.262596,1.154599,-0.000325,0.999314,-27,0.359103,1.317508,2317708,0.066667
CONT_s4_l2a_BigBuckBunny,5,50.0,1789923797.241,1789923807.63,0.479889,0.218591,0.0,1.415632,626169,775,5,102,22.326406,32.706471,0.0,0,0.0,0.0,0.0,0,0.351094,0.484557,0.082096,0.680234,0.006768,1.014305,50,0.379408,1.264836,2943877,0.04902
CONT_s4_l2a_BigBuckBunny,6,60.0,1789923807.63,1789923817.63,0.487192,0.279627,0.0,1.645703,617868,700,3,99,26.37463,41.334821,0.0,0,0.0,0.0,0.0,0,0.599413,0.546501,0.32178,1.645703,0.007303,1.015218,-75,0.39455,1.234804,3561745,0.111111
CONT_s4_l2a_BigBuckBunny,7,70.0,1789923817.63,1789923827.63,0.612873,0.189127,0.0,1.293177,770378,885,5,98,42.186104,78.190915,0.0,0,0.0,0.0,0.0,0,0.475945,0.604592,0.217687,1.293177,0.125681,1.25797,185,0.421233,1.45495,4332123,0.010204
CONT_s4_l2a_BigBuckBunny,8,80.0,1789923827.63,1789923837.63,0.606488,0.170971,0.236819,1.067057,764094,779,5,98,52.963402,115.466198,0.0,0,0.0,0.0,0.0,0,0.470515,0.604252,0.175887,1.059708,-0.006385,0.989582,-106,0.441451,1.373851,5096217,0.0
CONT_s4_l2a_BigBuckBunny,9,90.0,1789923837.63,1789923847.63,0.605554,0.211813,0.004742,1.048535,764264,737,5,98,67.201483,125.875916,0.0,0,0.0,0.0,0.0,0,1.032218,0.600244,0.252517,1.048535,-0.000934,0.99846,-42,0.457625,1.323254,5860481,0.010204
CONT_s4_l2a_BigBuckBunny,10,100.0,1789923847.63,1789923857.63,4.107731,22.087343,0.0,167.008746,5237709,4517,3,99,16.184444,35.082176,0.0,0,0.0,0.0,0.0,0,0.0,12.280143,38.906339,167.008746,3.502177,6.783426,3780,0.788182,5.211653,11098190,0.20202
CONT_s4_l2a_BigBuckBunny,11,110.0,1789923857.63,1789923867.63,2.332358,15.359273,0.0,140.536466,2942756,2392,3,98,0.376734,3.81467,0.0,0,0.0,0.0,0.0,0,0.0,0.000365,0.001968,0.010962,-1.775373,0.567797,-2125,0.915149,2.54861,14040946,0.928571
CONT_s4_l2a_BigBuckBunny,12,120.0,1789923867.63,1789923877.63,2.150577,12.108927,0.0,74.216676,2710856,2194,2,98,0.202871,0.936153,0.0,0,0.0,0.0,0.0,0,0.0,2.474254,13.322233,74.216676,-0.181781,0.922061,-198,1.008883,2.131642,16751802,0.918367
CONT_s4_l2a_BigBuckBunny,13,130.0,1789923877.63,1789923887.63,2.512098,8.531016,0.0,56.738874,3171789,2552,3,98,6.120844,31.553949,0.0,0,0.0,0.0,0.0,0,10.582037,1.765253,3.940043,10.582037,0.361521,1.168104,358,1.115065,2.252871,19923591,0.806122
