run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
CONT_s4_l2a_TearsOfSteel,1789881127.238,0.1001,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881127.34,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881127.442,0.1019,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881127.544,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881127.645,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881127.746,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881127.848,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881127.95,0.1022,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881128.052,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881128.153,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881128.255,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881128.356,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881128.458,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881128.559,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881128.66,0.1013,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881128.762,0.1014,141,1,0,0.0,0,1
CONT_s4_l2a_TearsOfSteel,1789881128.863,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881128.965,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881129.067,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881129.168,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881129.27,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881129.371,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881129.473,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881129.574,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881129.676,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881129.777,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881129.879,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881129.981,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881130.082,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881130.184,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881130.285,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881130.387,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881130.488,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881130.59,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881130.691,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881130.793,0.1015,141,1,0,0.0,0,1
CONT_s4_l2a_TearsOfSteel,1789881130.895,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881130.996,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881131.098,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881131.199,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881131.301,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881131.402,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881131.504,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881131.605,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881131.707,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881131.808,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881131.91,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881132.012,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881132.113,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881132.215,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881132.316,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881132.418,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881132.52,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881132.621,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881132.723,0.1016,141,1,0,429321.0,0,1
CONT_s4_l2a_TearsOfSteel,1789881132.824,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881132.926,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881133.028,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881133.129,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881133.231,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881133.333,0.1026,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881133.435,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881133.536,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881133.638,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881133.739,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881133.841,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881133.945,0.1041,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881134.047,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881134.148,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881134.25,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881134.351,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881134.453,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881134.555,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881134.656,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881134.758,0.1015,141,1,0,608173.0,0,1
CONT_s4_l2a_TearsOfSteel,1789881134.861,0.103,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881134.962,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881135.064,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881135.165,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881135.267,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881135.368,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881135.47,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881135.571,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881135.673,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881135.774,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881135.876,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881135.978,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881136.079,0.1015,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881136.18,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881136.282,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881136.384,0.1017,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881136.485,0.1016,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881136.587,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881136.688,0.1014,0,0,0,0,0,0
CONT_s4_l2a_TearsOfSteel,1789881136.79,0.1015,141,1,0,1132013.0,0,1
