run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
CONT_s5_l2a_TheSwissAccount,1789792758.778,0.1001,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792758.88,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792758.981,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792759.082,0.1013,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792759.184,0.1013,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792759.285,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792759.387,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792759.488,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792759.59,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792759.691,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792759.792,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792759.894,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792759.996,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792760.097,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792760.198,0.1014,141,1,0,0.0,0,1
CONT_s5_l2a_TheSwissAccount,1789792760.3,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792760.402,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792760.503,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792760.605,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792760.706,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792760.808,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792760.909,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792761.011,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792761.112,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792761.214,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792761.315,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792761.417,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792761.519,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792761.62,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792761.722,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792761.823,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792761.925,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792762.026,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792762.128,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792762.229,0.1016,141,1,0,0.0,0,1
CONT_s5_l2a_TheSwissAccount,1789792762.331,0.1021,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792762.433,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792762.535,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792762.636,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792762.738,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792762.839,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792762.942,0.1027,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792763.044,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792763.145,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792763.247,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792763.348,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792763.451,0.1026,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792763.552,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792763.654,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792763.755,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792763.857,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792763.958,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792764.06,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792764.161,0.1014,141,1,0,449961.0,0,1
CONT_s5_l2a_TheSwissAccount,1789792764.263,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792764.365,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792764.466,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792764.568,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792764.669,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792764.771,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792764.872,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792764.974,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792765.075,0.1014,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792765.177,0.1014,198,1,0,0.0,0,1
CONT_s5_l2a_TheSwissAccount,1789792765.278,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792765.38,0.1018,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792765.482,0.1018,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792765.584,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792765.685,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792765.787,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792765.889,0.1019,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792765.99,0.1018,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792766.092,0.1015,198,1,0,0.0,0,1
CONT_s5_l2a_TheSwissAccount,1789792766.193,0.1015,141,1,0,676434.0,0,1
CONT_s5_l2a_TheSwissAccount,1789792766.295,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792766.397,0.1018,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792766.499,0.1018,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792766.6,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792766.702,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792766.803,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792766.905,0.1018,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792767.007,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792767.108,0.1015,198,1,0,143455.0,0,1
CONT_s5_l2a_TheSwissAccount,1789792767.21,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792767.311,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792767.413,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792767.515,0.1018,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792767.616,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792767.718,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792767.819,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792767.921,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792768.023,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792768.124,0.1015,198,1,0,342489.0,0,1
CONT_s5_l2a_TheSwissAccount,1789792768.226,0.1016,141,1,0,720436.0,0,1
CONT_s5_l2a_TheSwissAccount,1789792768.328,0.1024,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792768.431,0.1023,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792768.532,0.1017,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792768.634,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792768.736,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792768.837,0.1018,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792768.94,0.1031,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792769.043,0.1021,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792769.144,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792769.246,0.1015,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792769.348,0.102,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792769.451,0.1031,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792769.552,0.1016,0,0,0,0,0,0
CONT_s5_l2a_TheSwissAccount,1789792769.654,0.1015,0,0,0,0,0,0
