run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,tp_slot_akhir,tp_pendek_mean,tp_pendek_std,tp_pendek_max,tp_delta_prev,tp_rasio_prev,pkt_delta_prev,tp_kumulatif,tp_rasio_kumulatif,bytes_kumulatif,rasio_diam
CONT_s6_dynamic_Valkaama,0,0.0,1789780490.456,1789780505.93,0.470502,0.333145,0.0,1.392667,913189,1157,4,152,34.727512,61.916755,0.0,0,0.0,0.0,0.0,0,0.70049,0.421093,0.337134,1.077605,0.470502,0.0,1157,0.47051,0.999983,913189,0.164474
CONT_s6_dynamic_Valkaama,1,10.0,1789780505.93,1789780515.93,0.500771,0.365257,0.0,1.314129,633153,745,3,99,35.052565,56.115183,0.0,0,0.0,0.0,0.0,0,0.469746,0.588917,0.375445,1.223428,0.030269,1.064333,-412,0.48248,1.03791,1546342,0.171717
CONT_s6_dynamic_Valkaama,2,20.0,1789780515.93,1789780525.93,0.446543,0.35669,0.0,1.274442,564184,671,3,99,35.336443,59.495537,0.0,0,0.0,0.0,0.0,0,0.589119,0.367107,0.283857,0.863953,-0.054228,0.891711,-74,0.472303,0.945459,2110526,0.232323
CONT_s6_dynamic_Valkaama,3,30.0,1789780525.93,1789780535.93,0.350649,0.349441,0.0,1.281647,443015,519,3,99,36.436696,73.722494,0.0,0,0.0,0.0,0.0,0,0.244231,0.444513,0.425183,1.281647,-0.095894,0.785252,-152,0.445403,0.787262,2553541,0.30303
CONT_s6_dynamic_Valkaama,4,40.0,1789780535.93,1789780545.93,0.471506,0.453046,0.0,1.802807,597205,716,4,99,41.629118,117.550465,0.0,0,0.0,0.0,0.0,0,0.948995,0.563784,0.445018,1.802807,0.120857,1.344667,197,0.450185,1.047361,3150746,0.272727
CONT_s6_dynamic_Valkaama,5,50.0,1789780545.93,1789780555.93,0.709617,0.473689,0.0,1.676794,891027,913,5,98,27.109858,80.505354,0.0,0,0.0,0.0,0.0,0,0.816702,0.928543,0.380433,1.676794,0.238111,1.505001,197,0.489654,1.449221,4041773,0.234694
CONT_s6_dynamic_Valkaama,6,60.0,1789780555.93,1789780565.93,0.94483,0.26749,0.0,1.626018,1201152,1351,4,99,15.975347,21.837219,0.0,0,0.0,0.0,0.0,0,0.824334,0.935606,0.222144,1.317629,0.235213,1.331465,438,0.550401,1.716621,5242925,0.020202
CONT_s6_dynamic_Valkaama,7,70.0,1789780565.93,1789780575.93,0.806269,0.43045,0.0,1.902757,1016538,1096,5,98,17.877816,37.656743,0.0,0,0.0,0.0,0.0,0,0.821416,0.900994,0.346078,1.902757,-0.138561,0.853348,-255,0.580319,1.389355,6259463,0.142857
CONT_s6_dynamic_Valkaama,8,80.0,1789780575.93,1789780585.93,0.93987,0.222556,0.241786,1.626045,1185929,1217,5,98,41.222061,56.418623,0.0,0,0.0,0.0,0.0,0,1.032692,0.944128,0.248842,1.521166,0.133601,1.165703,121,0.617977,1.520882,7445392,0.0
CONT_s6_dynamic_Valkaama,9,90.0,1789780585.93,1789780595.93,0.806619,0.428753,0.0,1.621282,1018408,1040,3,98,18.695833,32.257549,0.0,0,0.0,0.0,0.0,0,0.966214,0.934486,0.307204,1.621282,-0.133251,0.858224,-177,0.63589,1.268488,8463800,0.142857
CONT_s6_dynamic_Valkaama,10,100.0,1789780595.93,1789780605.93,2.34553,14.461485,0.0,144.742713,2964195,2592,5,98,28.781123,56.885956,0.0,0,0.0,0.0,0.0,0,0.590388,5.537708,25.851572,144.742713,1.538911,2.907854,1552,0.784179,2.991065,11427995,0.010204
CONT_s6_dynamic_Valkaama,11,110.0,1789780605.93,1789780618.586,0.44688,0.132981,0.0,0.910126,709817,797,5,123,70.021376,108.176977,0.0,0,0.0,0.0,0.0,0,0.358762,0.461949,0.16181,0.910126,-1.89865,0.190524,-1795,0.751024,0.595028,12137812,0.01626
CONT_s6_dynamic_Valkaama,12,120.0,1789780618.586,1789780631.686,0.4438,0.231072,0.0,1.379459,735980,803,5,128,66.404147,118.589464,0.0,0,0.0,0.0,0.0,0,0.366596,0.443063,0.301853,1.374672,-0.00308,0.993108,6,0.722422,0.614322,12873792,0.070312
CONT_s6_dynamic_Valkaama,13,130.0,1789780631.686,1789780641.686,0.439958,0.239235,0.0,1.14677,554057,615,5,97,70.12916,106.168104,0.0,0,0.0,0.0,0.0,0,0.0,0.427419,0.268609,1.143462,-0.003842,0.991343,-188,0.703776,0.625139,13427849,0.082474
CONT_s6_dynamic_Valkaama,14,140.0,1789780641.686,1789780651.686,1.406314,7.768557,0.0,70.827099,1780744,1532,5,97,73.603281,118.346991,0.0,0,0.0,0.0,0.0,0,0.456868,0.28903,0.190336,0.811973,0.966356,3.196473,917,0.747655,1.880966,15208593,0.092784
CONT_s6_dynamic_Valkaama,15,150.0,1789780651.686,1789780661.686,0.284395,0.340906,0.0,1.249904,359762,388,4,97,51.845166,145.660564,0.0,0,0.0,0.0,0.0,0,0.230403,0.302298,0.380345,1.248706,-1.121919,0.202227,-1144,0.720542,0.394696,15568355,0.391753
CONT_s6_dynamic_Valkaama,16,160.0,1789780661.686,1789780671.686,0.283455,0.348834,0.0,1.251105,358338,383,4,97,38.12363,84.529278,0.0,0,0.0,0.0,0.0,0,0.235086,0.285051,0.159186,0.687385,-0.00094,0.996695,-5,0.69638,0.407041,15926693,0.402062
CONT_s6_dynamic_Valkaama,17,170.0,1789780671.686,1789780681.686,1.870339,14.192055,0.0,138.996817,2368307,1985,4,97,103.459459,299.099219,0.0,0,0.0,0.0,0.0,0,0.525868,0.138319,0.130188,0.525868,1.586884,6.598363,1602,0.757986,2.467511,18295000,0.175258
CONT_s6_dynamic_Valkaama,18,180.0,1789780681.686,1789780691.686,0.138008,0.251641,0.0,1.171625,172845,209,3,96,48.20723,140.698916,0.0,0,0.0,0.0,0.0,0,0.0,0.12465,0.214048,0.906079,-1.732331,0.073788,-1776,0.727377,0.189734,18467845,0.5
CONT_s6_dynamic_Valkaama,19,190.0,1789780691.686,1789780701.686,0.142089,0.224074,0.0,1.131429,179962,240,4,97,59.535213,160.237876,0.0,0,0.0,0.0,0.0,0,0.114833,0.142026,0.124414,0.480995,0.004081,1.029571,31,0.699563,0.203111,18647807,0.474227
CONT_s6_dynamic_Valkaama,20,200.0,1789780701.686,1789780712.278,0.139925,0.083195,0.0,0.396252,187030,252,4,102,120.035429,356.233231,0.0,0,0.0,0.0,0.0,0,0.118813,0.142169,0.085338,0.341394,-0.002164,0.98477,12,0.67285,0.207959,18834837,0.147059
CONT_s6_dynamic_Valkaama,21,210.0,1789780712.278,1789780722.48,0.188932,0.331848,0.0,1.293142,244760,266,4,99,71.426219,270.296238,0.0,0,0.0,0.0,0.0,0,1.014862,0.222727,0.379895,1.132849,0.049007,1.350238,14,0.651433,0.290025,19079597,0.555556
CONT_s6_dynamic_Valkaama,22,220.0,1789780722.48,1789780732.48,0.081049,0.261156,0.0,1.299292,101777,116,2,96,35.241782,301.493764,0.0,0,0.0,0.0,0.0,0,0.0,0.067894,0.242157,1.299292,-0.107883,0.428985,-150,0.627974,0.129064,19181374,0.802083
CONT_s6_dynamic_Valkaama,23,230.0,1789780732.48,1789780742.48,0.038994,0.188613,0.0,1.29805,49462,61,2,97,33.813484,377.23836,0.0,0,0.0,0.0,0.0,0,0.0,0.065291,0.240217,1.293384,-0.042055,0.481116,-55,0.604462,0.06451,19230836,0.865979
CONT_s6_dynamic_Valkaama,24,240.0,1789780742.48,1789780752.48,0.058744,0.218054,0.0,1.298203,73796,87,2,96,65.094084,441.140789,0.0,0,0.0,0.0,0.0,0,0.117017,0.069341,0.240817,1.298203,0.01975,1.506488,26,0.583731,0.100635,19304632,0.802083
CONT_s6_dynamic_Valkaama,25,250.0,1789780752.48,1789780762.48,0.181021,0.253436,0.0,1.131767,229950,268,3,97,67.44846,242.992413,0.0,0,0.0,0.0,0.0,0,0.234499,0.181832,0.25205,1.131767,0.122277,3.081523,181,0.568845,0.318226,19534582,0.402062
CONT_s6_dynamic_Valkaama,26,260.0,1789780762.48,1789780772.48,0.179504,0.147472,0.0,0.691832,226043,273,5,96,97.122938,226.180743,0.0,0,0.0,0.0,0.0,0,0.0,0.174469,0.15977,0.691832,-0.001517,0.99162,5,0.555072,0.323389,19760625,0.25
CONT_s6_dynamic_Valkaama,27,270.0,1789780772.48,1789780782.48,0.324657,2.072336,0.0,20.31779,408979,391,2,96,35.754087,205.194445,0.0,0,0.0,0.0,0.0,0,0.0,0.701355,3.707159,20.31779,0.145153,1.808634,118,0.547192,0.593315,20169604,0.739583
CONT_s6_dynamic_Valkaama,28,280.0,1789780782.48,1789780792.48,0.160928,1.099277,0.0,7.892824,202384,176,2,96,7.308533,4.261695,0.0,0,0.0,0.0,0.0,0,0.0,0.000952,0.002891,0.010753,-0.163729,0.495686,-215,0.534425,0.301124,20371988,0.927083
