run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s6_l2a_Valkaama,0,0.0,4.302,5.731,Critical
CONT_s6_l2a_Valkaama,1,10.0,3.4908,0,Good
CONT_s6_l2a_Valkaama,2,20.0,2.8728,0,Degraded
CONT_s6_l2a_Valkaama,3,30.0,2.8728,0,Degraded
CONT_s6_l2a_Valkaama,4,40.0,2.8728,0,Degraded
CONT_s6_l2a_Valkaama,5,50.0,2.8728,0,Degraded
CONT_s6_l2a_Valkaama,6,60.0,3.8539,0,Good
CONT_s6_l2a_Valkaama,7,70.0,4.2545,0,Excellent
CONT_s6_l2a_Valkaama,8,80.0,4.1549,0,Excellent
CONT_s6_l2a_Valkaama,9,90.0,3.7758,0,Good
CONT_s6_l2a_Valkaama,10,100.0,4.0649,0,Excellent
CONT_s6_l2a_Valkaama,11,110.0,3.5378,2.83,Critical
CONT_s6_l2a_Valkaama,12,120.0,2.8261,1.364,Critical
CONT_s6_l2a_Valkaama,13,130.0,2.7861,0,Degraded
CONT_s6_l2a_Valkaama,14,140.0,2.7861,1.373,Critical
CONT_s6_l2a_Valkaama,15,150.0,1.9682,0,Critical
CONT_s6_l2a_Valkaama,16,160.0,2.782,0,Degraded
CONT_s6_l2a_Valkaama,17,170.0,2.821,3.938,Critical
CONT_s6_l2a_Valkaama,18,180.0,1.5834,0,Critical
CONT_s6_l2a_Valkaama,19,190.0,1.5834,0,Critical
CONT_s6_l2a_Valkaama,20,200.0,1.5834,6.722,Critical
CONT_s6_l2a_Valkaama,21,210.0,2.1893,0,Degraded
CONT_s6_l2a_Valkaama,22,220.0,2.7375,0,Degraded
CONT_s6_l2a_Valkaama,23,230.0,2.7375,0,Degraded
CONT_s6_l2a_Valkaama,24,240.0,2.5211,0,Degraded
CONT_s6_l2a_Valkaama,25,250.0,2.0883,0,Degraded
CONT_s6_l2a_Valkaama,26,260.0,1.9801,0,Critical
CONT_s6_l2a_Valkaama,27,270.0,4.1336,0,Excellent
