run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s7_bola_TheSwissAccount,0,4.129566,3,1813314.667,1.565667,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,4,1363288.5,1.42875,300811.0,4.086,0.204,3.882,0.588959
CONT_s7_bola_TheSwissAccount,1,0.13652,2,85173.0,0.204,5,1122058.0,1.021,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,6,937250.0,1.0205,120612.0,4.188,0.204,3.984,0.230395
CONT_s7_bola_TheSwissAccount,2,3.49851,2,2124535.0,3.734,4,1104854.0,1.969,7,1408480.0,1.796143,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,8,1234071.25,1.698875,3361137.0,7.879,7.468,0.411,3.412755
CONT_s7_bola_TheSwissAccount,3,3.288646,10,385239.8,0.6048,12,675122.333,1.126333,14,590843.857,0.994571,17,806574.0,1.095353,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,184388.0,1.331,0.819,0.512,1.108268
CONT_s7_bola_TheSwissAccount,4,1.062167,0,0.0,0.0,10,385239.8,0.6048,12,675122.333,1.126333,14,590843.857,0.994571,17,806574.0,1.095353,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,18,762498.222,1.091056,184388.0,1.331,0.819,0.512,1.108268
CONT_s7_bola_TheSwissAccount,5,1.010389,1,3014258.0,19.877,1,3014258.0,19.877,11,624241.455,2.356818,13,855055.846,2.568692,15,752404.8,2.2534,18,929223.111,2.138778,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,3014258.0,21.114,19.877,1.237,1.142089
CONT_s7_bola_TheSwissAccount,6,0.783504,0,0.0,0.0,1,3014258.0,19.877,1,3014258.0,19.877,11,624241.455,2.356818,13,855055.846,2.568692,15,752404.8,2.2534,18,929223.111,2.138778,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,19,881011.895,2.07979,3014258.0,21.114,19.877,1.237,1.142089
CONT_s7_bola_TheSwissAccount,7,0.960085,1,2172592.0,19.209,1,2172592.0,19.209,2,2593425.0,19.543,2,2593425.0,19.543,12,753270.667,3.761167,14,949165.571,3.757286,16,841166.5,3.313125,19,994663.579,3.037211,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,2172592.0,19.934,19.209,0.725,0.871914
CONT_s7_bola_TheSwissAccount,8,0.955138,0,0.0,0.0,1,2172592.0,19.209,1,2172592.0,19.209,2,2593425.0,19.543,2,2593425.0,19.543,12,753270.667,3.761167,14,949165.571,3.757286,16,841166.5,3.313125,19,994663.579,3.037211,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,20,945590.9,2.93625,2172592.0,19.934,19.209,0.725,0.871914
CONT_s7_bola_TheSwissAccount,9,1.001593,1,1525202.0,11.797,1,1525202.0,11.797,2,1848897.0,15.503,2,1848897.0,15.503,3,2237350.667,16.961,3,2237350.667,16.961,13,812650.0,4.379308,15,987568.0,4.293267,17,881403.882,3.812176,20,1021190.5,3.4752,21,973191.429,3.358191,21,973191.429,3.358191,21,973191.429,3.358191,21,973191.429,3.358191,21,973191.429,3.358191,21,973191.429,3.358191,21,973191.429,3.358191,21,973191.429,3.358191,21,973191.429,3.358191,21,973191.429,3.358191,1525202.0,12.211,11.797,0.414,0.999232
