run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s8_bola_OfForestAndMen,0,0.0,2.1025,12.07,Critical
CONT_s8_bola_OfForestAndMen,1,10.0,1.5994,0,Critical
CONT_s8_bola_OfForestAndMen,2,20.0,1.5251,0,Critical
CONT_s8_bola_OfForestAndMen,3,30.0,1.5849,0,Critical
CONT_s8_bola_OfForestAndMen,4,40.0,1.5994,0,Critical
CONT_s8_bola_OfForestAndMen,5,50.0,1.6717,0,Critical
CONT_s8_bola_OfForestAndMen,6,60.0,1.4545,7.357,Critical
CONT_s8_bola_OfForestAndMen,7,70.0,1.4545,0,Critical
CONT_s8_bola_OfForestAndMen,8,80.0,1.4545,0,Critical
CONT_s8_bola_OfForestAndMen,9,90.0,1.5847,0,Critical
CONT_s8_bola_OfForestAndMen,10,100.0,1.4545,1.481,Critical
CONT_s8_bola_OfForestAndMen,11,110.0,1.5849,0,Critical
CONT_s8_bola_OfForestAndMen,12,120.0,1.6355,0,Critical
CONT_s8_bola_OfForestAndMen,13,130.0,1.5994,0,Critical
CONT_s8_bola_OfForestAndMen,14,140.0,1.5994,0,Critical
CONT_s8_bola_OfForestAndMen,15,150.0,1.5994,0,Critical
CONT_s8_bola_OfForestAndMen,16,160.0,1.6627,0,Critical
CONT_s8_bola_OfForestAndMen,17,170.0,1.6898,0,Critical
CONT_s8_bola_OfForestAndMen,18,180.0,1.6898,0,Critical
CONT_s8_bola_OfForestAndMen,19,190.0,1.4781,6.997,Critical
CONT_s8_bola_OfForestAndMen,20,200.0,1.4545,1.251,Critical
CONT_s8_bola_OfForestAndMen,21,210.0,1.4545,0,Critical
CONT_s8_bola_OfForestAndMen,22,220.0,1.4545,0,Critical
CONT_s8_bola_OfForestAndMen,23,230.0,1.6572,0,Critical
CONT_s8_bola_OfForestAndMen,24,240.0,1.5994,0,Critical
CONT_s8_bola_OfForestAndMen,25,250.0,1.5994,0,Critical
CONT_s8_bola_OfForestAndMen,26,260.0,1.8308,0,Critical
