run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s8_bola_RedBullPlayStreets,0,0.0,1789799341.496,1789799351.496,0.153612,0.207285,0.0,0.991843,59.436047,115.907757,0.0,0,0.0,0.0,0.0,0,194066,302,4,99
CONT_s8_bola_RedBullPlayStreets,1,10.0,1789799351.496,1789799361.496,0.133205,0.223915,0.0,1.105397,59.542948,167.791959,0.0,0,0.0,0.0,0.0,0,168386,209,3,99
CONT_s8_bola_RedBullPlayStreets,2,20.0,1789799361.496,1789799371.496,0.135372,0.289069,0.0,1.154163,46.592507,167.52674,0.0,0,0.0,0.0,0.0,0,171190,177,3,99
CONT_s8_bola_RedBullPlayStreets,3,30.0,1789799371.496,1789799381.496,0.131912,0.231258,0.0,1.151984,70.949333,169.340415,0.0,0,0.0,0.0,0.0,0,166833,199,3,99
CONT_s8_bola_RedBullPlayStreets,4,40.0,1789799381.496,1789799391.496,0.110166,0.197076,0.0,1.335992,58.606477,161.701461,0.0,0,0.0,0.0,0.0,0,137928,171,3,98
CONT_s8_bola_RedBullPlayStreets,5,50.0,1789799391.496,1789799401.496,0.147533,0.198994,0.0,1.153033,42.937667,100.602095,0.0,0,0.0,0.0,0.0,0,186644,234,3,99
CONT_s8_bola_RedBullPlayStreets,6,60.0,1789799401.496,1789799411.496,0.151045,0.291335,0.0,1.151906,36.622304,143.57691,0.0,0,0.0,0.0,0.0,0,191063,205,4,99
CONT_s8_bola_RedBullPlayStreets,7,70.0,1789799411.496,1789799421.496,0.155187,0.141634,0.0,0.763304,119.721562,307.661931,0.0,0,0.0,0.0,0.0,0,197020,246,6,99
CONT_s8_bola_RedBullPlayStreets,8,80.0,1789799421.496,1789799435.444,1.048704,10.725865,0.0,125.653099,99.016269,330.397618,0.0,0,0.0,0.0,0.0,0,1829354,1519,4,136
CONT_s8_bola_RedBullPlayStreets,9,90.0,1789799435.444,1789799445.444,0.125698,0.286621,0.0,1.054099,41.183589,209.777846,0.0,0,0.0,0.0,0.0,0,159785,168,4,99
CONT_s8_bola_RedBullPlayStreets,10,100.0,1789799445.444,1789799455.444,0.125239,0.195017,0.0,1.044362,73.318354,181.506883,0.0,0,0.0,0.0,0.0,0,157583,197,3,98
CONT_s8_bola_RedBullPlayStreets,11,110.0,1789799455.444,1789799465.444,0.124585,0.178236,0.0,1.045609,53.813527,112.141693,0.0,0,0.0,0.0,0.0,0,156794,207,3,98
CONT_s8_bola_RedBullPlayStreets,12,120.0,1789799465.444,1789799475.444,0.103932,0.155784,0.0,1.035634,41.117606,107.62388,0.0,0,0.0,0.0,0.0,0,130811,176,3,98
CONT_s8_bola_RedBullPlayStreets,13,130.0,1789799475.444,1789799485.444,0.16922,0.316487,0.0,1.266926,43.999371,146.153552,0.0,0,0.0,0.0,0.0,0,215021,228,3,99
CONT_s8_bola_RedBullPlayStreets,14,140.0,1789799485.444,1789799495.444,0.168872,0.168436,0.0,1.218929,89.233704,237.341255,0.0,0,0.0,0.0,0.0,0,213015,260,4,98
CONT_s8_bola_RedBullPlayStreets,15,150.0,1789799495.444,1789799505.444,0.164872,0.274917,0.0,1.151565,44.073636,130.405466,0.0,0,0.0,0.0,0.0,0,208066,241,3,98
CONT_s8_bola_RedBullPlayStreets,16,160.0,1789799505.444,1789799515.444,0.124964,0.234605,0.0,1.320039,49.190682,164.510926,0.0,0,0.0,0.0,0.0,0,157629,203,3,98
CONT_s8_bola_RedBullPlayStreets,17,170.0,1789799515.444,1789799525.444,0.208505,0.314981,0.0,1.789147,55.626006,189.060735,0.0,0,0.0,0.0,0.0,0,263389,291,4,98
CONT_s8_bola_RedBullPlayStreets,18,180.0,1789799525.444,1789799535.444,0.346132,0.32199,0.0,1.44233,32.585322,80.678594,0.0,0,0.0,0.0,0.0,0,437716,515,3,98
CONT_s8_bola_RedBullPlayStreets,19,190.0,1789799535.444,1789799545.444,0.363188,0.285886,0.0,1.145631,30.279742,47.85874,0.0,0,0.0,0.0,0.0,0,459152,508,3,98
CONT_s8_bola_RedBullPlayStreets,20,200.0,1789799545.444,1789799555.444,2.085389,13.569513,0.0,128.100987,67.41566,142.758861,0.0,0,0.0,0.0,0.0,0,2612513,2174,5,97
CONT_s8_bola_RedBullPlayStreets,21,210.0,1789799555.444,1789799566.478,0.158139,0.208073,0.0,1.143411,99.904561,294.851469,0.0,0,0.0,0.0,0.0,0,220928,267,4,108
CONT_s8_bola_RedBullPlayStreets,22,220.0,1789799566.478,1789799579.139,0.157478,0.127599,0.0,0.581061,121.257956,275.457428,0.0,0,0.0,0.0,0.0,0,251389,304,4,123
CONT_s8_bola_RedBullPlayStreets,23,230.0,1789799579.139,1789799594.126,1.182426,10.509278,0.0,126.058273,99.408982,299.228512,0.0,0,0.0,0.0,0.0,0,2233028,1837,5,145
CONT_s8_bola_RedBullPlayStreets,24,240.0,1789799594.126,1789799604.126,0.235613,0.212391,0.0,1.303647,53.748113,153.956786,0.0,0,0.0,0.0,0.0,0,297814,377,4,97
CONT_s8_bola_RedBullPlayStreets,25,250.0,1789799604.126,1789799614.126,0.242761,0.252861,0.0,1.248706,89.427497,210.12616,0.0,0,0.0,0.0,0.0,0,304456,341,4,96
CONT_s8_bola_RedBullPlayStreets,26,260.0,1789799614.126,1789799624.126,1.380952,11.137143,0.0,110.485889,100.178823,221.144744,0.0,0,0.0,0.0,0.0,0,1751678,1485,4,97
CONT_s8_bola_RedBullPlayStreets,27,270.0,1789799624.126,1789799634.126,0.219645,0.274139,0.0,1.146208,97.941754,244.393868,0.0,0,0.0,0.0,0.0,0,275998,310,4,96
CONT_s8_bola_RedBullPlayStreets,28,280.0,1789799634.126,1789799644.126,0.132763,0.268857,0.0,1.146208,56.439243,220.10773,0.0,0,0.0,0.0,0.0,0,168784,194,4,97
