run_id,window_index,throughput_mean,rq_n_chunk_10s,rq_ukuran_rata_10s,rq_unduh_rata_10s,rq_n_chunk_20s,rq_ukuran_rata_20s,rq_unduh_rata_20s,rq_n_chunk_30s,rq_ukuran_rata_30s,rq_unduh_rata_30s,rq_n_chunk_40s,rq_ukuran_rata_40s,rq_unduh_rata_40s,rq_n_chunk_50s,rq_ukuran_rata_50s,rq_unduh_rata_50s,rq_n_chunk_60s,rq_ukuran_rata_60s,rq_unduh_rata_60s,rq_n_chunk_70s,rq_ukuran_rata_70s,rq_unduh_rata_70s,rq_n_chunk_80s,rq_ukuran_rata_80s,rq_unduh_rata_80s,rq_n_chunk_90s,rq_ukuran_rata_90s,rq_unduh_rata_90s,rq_n_chunk_100s,rq_ukuran_rata_100s,rq_unduh_rata_100s,rq_n_chunk_110s,rq_ukuran_rata_110s,rq_unduh_rata_110s,rq_n_chunk_120s,rq_ukuran_rata_120s,rq_unduh_rata_120s,rq_n_chunk_130s,rq_ukuran_rata_130s,rq_unduh_rata_130s,rq_n_chunk_140s,rq_ukuran_rata_140s,rq_unduh_rata_140s,rq_n_chunk_150s,rq_ukuran_rata_150s,rq_unduh_rata_150s,rq_n_chunk_160s,rq_ukuran_rata_160s,rq_unduh_rata_160s,rq_n_chunk_170s,rq_ukuran_rata_170s,rq_unduh_rata_170s,rq_n_chunk_180s,rq_ukuran_rata_180s,rq_unduh_rata_180s,rq_n_chunk_190s,rq_ukuran_rata_190s,rq_unduh_rata_190s,rq_n_chunk_200s,rq_ukuran_rata_200s,rq_unduh_rata_200s,rq_akhir_ukuran,rq_akhir_durasi,rq_akhir_unduh,rq_akhir_slack,rq_akhir_laju_efektif
CONT_s8_dynamic_RedBullPlayStreets,0,0.148236,4,49837.75,2.24775,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,5,42622.0,1.9814,20002.0,1.023,0.613,0.41,0.156418
CONT_s8_dynamic_RedBullPlayStreets,1,0.140044,3,44254.0,2.109333,7,47444.714,2.188429,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,8,43234.0,2.029375,52260.0,3.469,2.857,0.612,0.120519
CONT_s8_dynamic_RedBullPlayStreets,2,0.125948,8,24818.0,0.881625,11,30118.727,1.216455,15,35377.133,1.491467,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,16,34026.0,1.4555,12367.0,0.816,0.306,0.51,0.121245
CONT_s8_dynamic_RedBullPlayStreets,3,0.13395,10,17774.6,0.4194,18,20905.0,0.624833,21,24240.571,0.836905,25,28336.12,1.06264,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,26,27775.462,1.057,9515.0,1.022,0.205,0.817,0.074481
CONT_s8_dynamic_RedBullPlayStreets,4,0.123487,3,36482.0,1.329,13,22091.692,0.629308,21,23130.286,0.725429,24,25770.75,0.898417,28,29208.893,1.091179,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,29,28676.138,1.085138,55829.0,4.192,2.146,2.046,0.106544
CONT_s8_dynamic_RedBullPlayStreets,5,0.139701,7,30110.286,0.949286,10,32021.8,1.0632,20,24898.2,0.7413,28,24875.286,0.781393,31,26750.645,0.909903,35,29389.171,1.0628,36,28955.0,1.058722,36,28955.0,1.058722,36,28955.0,1.058722,36,28955.0,1.058722,36,28955.0,1.058722,36,28955.0,1.058722,36,28955.0,1.058722,36,28955.0,1.058722,36,28955.0,1.058722,36,28955.0,1.058722,36,28955.0,1.058722,36,28955.0,1.058722,36,28955.0,1.058722,36,28955.0,1.058722,16885.0,0.715,0.306,0.409,0.188923
CONT_s8_dynamic_RedBullPlayStreets,6,0.155244,3,41241.667,1.636667,10,33449.7,1.1555,13,34149.462,1.195538,23,27029.957,0.858087,31,26459.129,0.864161,34,28029.265,0.974029,38,30324.895,1.108105,39,29900.128,1.10318,39,29900.128,1.10318,39,29900.128,1.10318,39,29900.128,1.10318,39,29900.128,1.10318,39,29900.128,1.10318,39,29900.128,1.10318,39,29900.128,1.10318,39,29900.128,1.10318,39,29900.128,1.10318,39,29900.128,1.10318,39,29900.128,1.10318,39,29900.128,1.10318,53583.0,2.763,2.048,0.715,0.155144
CONT_s8_dynamic_RedBullPlayStreets,7,0.149164,1,196454.0,9.436,4,80044.75,3.5865,11,48268.273,1.908273,14,45742.643,1.784143,24,34089.292,1.2155,32,31771.469,1.132031,35,32841.4,1.2158,39,34584.615,1.321641,40,34063.975,1.3115,40,34063.975,1.3115,40,34063.975,1.3115,40,34063.975,1.3115,40,34063.975,1.3115,40,34063.975,1.3115,40,34063.975,1.3115,40,34063.975,1.3115,40,34063.975,1.3115,40,34063.975,1.3115,40,34063.975,1.3115,40,34063.975,1.3115,196454.0,9.948,9.436,0.512,0.157985
CONT_s8_dynamic_RedBullPlayStreets,8,0.859757,3,693125.667,6.065667,3,693125.667,6.065667,4,568957.75,6.90825,8,302055.125,4.106125,14,186452.0,2.799143,18,151627.167,2.41,28,103924.536,1.702679,35,88458.971,1.554914,39,83303.282,1.57341,42,81623.262,1.6605,43,80045.023,1.643186,43,80045.023,1.643186,43,80045.023,1.643186,43,80045.023,1.643186,43,80045.023,1.643186,43,80045.023,1.643186,43,80045.023,1.643186,43,80045.023,1.643186,43,80045.023,1.643186,43,80045.023,1.643186,56636.0,4.008,3.085,0.923,0.113046
CONT_s8_dynamic_RedBullPlayStreets,9,0.123851,3,55153.667,2.843667,6,374139.667,4.454667,6,374139.667,4.454667,7,348756.0,5.166286,11,234718.364,3.761818,17,163281.706,2.807,21,137845.238,2.471952,31,99204.774,1.813097,38,85829.605,1.656658,42,81292.595,1.664143,45,79858.622,1.739378,46,78421.674,1.721478,46,78421.674,1.721478,46,78421.674,1.721478,46,78421.674,1.721478,46,78421.674,1.721478,46,78421.674,1.721478,46,78421.674,1.721478,46,78421.674,1.721478,46,78421.674,1.721478,59823.0,3.802,3.289,0.513,0.125877
