run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s9_dynamic_RedBullPlayStreets,0,0.0,3.4742,0.179,Degraded
CONT_s9_dynamic_RedBullPlayStreets,1,10.0,3.3204,0,Good
CONT_s9_dynamic_RedBullPlayStreets,2,20.0,2.9413,0,Degraded
CONT_s9_dynamic_RedBullPlayStreets,3,30.0,2.9413,0,Degraded
CONT_s9_dynamic_RedBullPlayStreets,4,40.0,3.1264,0,Good
CONT_s9_dynamic_RedBullPlayStreets,5,50.0,3.9364,0,Good
CONT_s9_dynamic_RedBullPlayStreets,6,60.0,4.0403,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,7,70.0,4.0403,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,8,80.0,4.2434,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,9,90.0,4.3867,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,10,100.0,3.9005,0,Good
CONT_s9_dynamic_RedBullPlayStreets,11,110.0,3.9172,0,Good
CONT_s9_dynamic_RedBullPlayStreets,12,120.0,3.5487,0,Good
CONT_s9_dynamic_RedBullPlayStreets,13,130.0,4.0403,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,14,140.0,4.0403,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,15,150.0,3.7661,0,Good
CONT_s9_dynamic_RedBullPlayStreets,16,160.0,3.14,0,Good
CONT_s9_dynamic_RedBullPlayStreets,17,170.0,3.8401,0,Good
CONT_s9_dynamic_RedBullPlayStreets,18,180.0,3.7542,0,Good
CONT_s9_dynamic_RedBullPlayStreets,19,190.0,2.9952,0,Degraded
CONT_s9_dynamic_RedBullPlayStreets,20,200.0,2.9413,0,Degraded
CONT_s9_dynamic_RedBullPlayStreets,21,210.0,3.0904,0,Good
CONT_s9_dynamic_RedBullPlayStreets,22,220.0,4.4404,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,23,230.0,4.4026,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,24,240.0,4.4296,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,25,250.0,4.4505,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,26,260.0,4.4767,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,27,270.0,4.4026,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,28,280.0,4.4307,0,Excellent
CONT_s9_dynamic_RedBullPlayStreets,29,290.0,4.3548,0,Excellent
