run_id,window_index,throughput_mean,vc_slot_n_paket,vc_slot_n_byte,vc_slot_n_slot_aktif,vc_slot_rasio_aktif,vc_slot_t_ke_pertama,vc_slot_t_stlh_terakhir,vc_slot_durasi_burst,vc_slot_tp_rata,vc_slot_tp_burst,vc_slot_reg_slope,vc_slot_reg_intercept,vc_slot_vol_mean,vc_slot_vol_var,vc_slot_vol_std,vc_slot_vol_cvar,vc_slot_vol_skew,vc_slot_vol_kurt,vc_slot_vol_min,vc_slot_vol_maks,vc_slot_pkt_mean,vc_slot_pkt_var,vc_slot_pkt_std,vc_slot_pkt_cvar,vc_slot_pkt_skew,vc_slot_pkt_kurt,vc_slot_pkt_min,vc_slot_pkt_maks,vc_trend_n_paket,vc_trend_n_byte,vc_trend_n_slot_aktif,vc_trend_rasio_aktif,vc_trend_t_ke_pertama,vc_trend_t_stlh_terakhir,vc_trend_durasi_burst,vc_trend_tp_rata,vc_trend_tp_burst,vc_trend_reg_slope,vc_trend_reg_intercept,vc_trend_vol_mean,vc_trend_vol_var,vc_trend_vol_std,vc_trend_vol_cvar,vc_trend_vol_skew,vc_trend_vol_kurt,vc_trend_vol_min,vc_trend_vol_maks,vc_trend_pkt_mean,vc_trend_pkt_var,vc_trend_pkt_std,vc_trend_pkt_cvar,vc_trend_pkt_skew,vc_trend_pkt_kurt,vc_trend_pkt_min,vc_trend_pkt_maks,vc_sesi_n_paket,vc_sesi_n_byte,vc_sesi_n_slot_aktif,vc_sesi_rasio_aktif,vc_sesi_t_ke_pertama,vc_sesi_t_stlh_terakhir,vc_sesi_durasi_burst,vc_sesi_tp_rata,vc_sesi_tp_burst,vc_sesi_reg_slope,vc_sesi_reg_intercept,vc_sesi_vol_mean,vc_sesi_vol_var,vc_sesi_vol_std,vc_sesi_vol_cvar,vc_sesi_vol_skew,vc_sesi_vol_kurt,vc_sesi_vol_min,vc_sesi_vol_maks,vc_sesi_pkt_mean,vc_sesi_pkt_var,vc_sesi_pkt_std,vc_sesi_pkt_cvar,vc_sesi_pkt_skew,vc_sesi_pkt_kurt,vc_sesi_pkt_min,vc_sesi_pkt_maks,vc_indeks_slot
CONT_s9_l2a_ElephantsDream,0,2.200776,3503.0,3901990.0,138.0,1.0,0.049,0.081,14.079,2.196912,2.217197,237742.950559,-439747.464829,28275.289855,28632759764.689087,169212.173808,5.984454,11.610856,132.878087,3052.0,2001195.0,25.384058,17194.661642,131.128417,5.165778,11.604652,132.782725,3.0,1554.0,3503.0,3901990.0,138.0,1.0,0.049,0.081,14.079,2.196912,2.217197,237742.950559,-439747.464829,28275.289855,28632759764.689087,169212.173808,5.984454,11.610856,132.878087,3052.0,2001195.0,25.384058,17194.661642,131.128417,5.165778,11.604652,132.782725,3.0,1554.0,3503.0,3901990.0,138.0,1.0,0.049,0.081,14.079,2.196912,2.217197,237742.950559,-439747.464829,28275.289855,28632759764.689087,169212.173808,5.984454,11.610856,132.878087,3052.0,2001195.0,25.384058,17194.661642,131.128417,5.165778,11.604652,132.782725,3.0,1554.0,0
CONT_s9_l2a_ElephantsDream,1,1.226961,1563.0,1545806.0,98.0,1.0,0.022,0.002,9.976,1.236645,1.23962,153014.44859,20331.733873,15773.530612,12757996.890806,3571.833827,0.226445,-0.395875,0.517143,4538.0,24003.0,15.94898,11.883968,3.447313,0.216146,-0.147854,1.004286,5.0,26.0,5066.0,5447796.0,236.0,1.0,0.049,0.002,24.158,1.800255,1.804055,265767.950138,-542406.478406,23083.881356,16735668312.63267,129366.411068,5.604188,15.245049,230.610833,3052.0,2001195.0,21.466102,10050.735016,100.253354,4.67031,15.232522,230.357148,3.0,1554.0,5066.0,5447796.0,236.0,1.0,0.049,0.002,24.158,1.800255,1.804055,265767.950138,-542406.478406,23083.881356,16735668312.63267,129366.411068,5.604188,15.245049,230.610833,3052.0,2001195.0,21.466102,10050.735016,100.253354,4.67031,15.232522,230.357148,3.0,1554.0,1
CONT_s9_l2a_ElephantsDream,2,1.219064,1488.0,1519724.0,97.0,1.0,0.1,0.029,9.871,1.215779,1.231668,152490.266382,15588.794349,15667.257732,13764733.547466,3710.085383,0.236805,-0.404524,0.629302,4529.0,24311.0,15.340206,12.872637,3.587846,0.233885,0.064824,0.94282,5.0,26.0,6554.0,6967520.0,333.0,1.0,0.049,0.029,34.131,1.6294,1.633124,226757.921243,-168326.920018,20923.483483,11861400187.810717,108910.055494,5.205159,18.133275,327.213759,3052.0,2001195.0,19.681682,7125.717645,84.413966,4.288961,18.11368,326.740891,3.0,1554.0,6554.0,6967520.0,333.0,1.0,0.049,0.029,34.131,1.6294,1.633124,226757.921243,-168326.920018,20923.483483,11861400187.810717,108910.055494,5.205159,18.133275,327.213759,3052.0,2001195.0,19.681682,7125.717645,84.413966,4.288961,18.11368,326.740891,3.0,1554.0,2
CONT_s9_l2a_ElephantsDream,3,1.219988,1487.0,1520866.0,97.0,1.0,0.074,0.055,9.871,1.216693,1.232593,152553.610237,14984.822614,15679.030928,10151156.780284,3186.088006,0.203207,-0.956622,2.038378,4467.0,22806.0,15.329897,9.619201,3.101484,0.202316,-0.717175,2.412485,4.0,24.0,4538.0,4586396.0,292.0,1.0,0.022,0.055,29.923,1.223039,1.226186,152519.272956,23109.599723,15706.835616,12144721.746081,3484.927796,0.221873,-0.541623,0.970889,4467.0,24311.0,15.541096,11.465659,3.386098,0.21788,-0.200062,1.359309,4.0,26.0,8041.0,8488386.0,430.0,1.0,0.049,0.055,44.105,1.536047,1.539669,202714.457775,141154.064573,19740.432558,9186539526.190073,95846.437212,4.855336,20.618893,423.762737,3052.0,2001195.0,18.7,5520.010023,74.29677,3.973089,20.592461,423.036889,3.0,1554.0,3
CONT_s9_l2a_ElephantsDream,4,1.221233,1529.0,1540635.0,98.0,1.0,0.049,0.097,9.989,1.216091,1.233865,152793.804589,14726.652312,15720.765306,10564253.934042,3250.269825,0.20675,-0.542363,1.696782,3378.0,24084.0,15.602041,10.63381,3.260952,0.209008,-0.15281,0.575177,6.0,24.0,4504.0,4581225.0,292.0,1.0,0.1,0.097,29.938,1.216187,1.22419,152469.49,15136.245954,15689.126712,11411726.729593,3378.124736,0.215316,-0.602196,1.370596,3378.0,24311.0,15.424658,10.980558,3.313693,0.214831,-0.217132,1.263618,4.0,26.0,9570.0,10029021.0,528.0,1.0,0.049,0.097,54.198,1.476376,1.480353,188208.660428,376502.229005,18994.357955,7482618116.086041,86502.127812,4.554096,22.853723,521.198791,3052.0,2001195.0,18.125,4496.929317,67.059148,3.699815,22.818416,520.12336,3.0,1554.0,4
CONT_s9_l2a_ElephantsDream,5,1.219937,1719.0,1761077.0,112.0,1.0,0.006,0.022,11.445,1.22798,1.230984,152409.330549,15483.824462,15723.901786,14217118.41369,3770.55943,0.239798,-0.383713,0.326809,5998.0,25497.0,15.348214,10.877654,3.298129,0.214887,-0.280761,-0.069651,6.0,23.0,4735.0,4822578.0,307.0,1.0,0.074,0.022,31.512,1.220597,1.224315,152548.916337,15042.452078,15708.723127,11691076.338124,3419.221598,0.217664,-0.573439,1.16815,3378.0,25497.0,15.423453,10.349514,3.217066,0.208583,-0.358493,0.843364,4.0,24.0,11289.0,11790098.0,640.0,1.0,0.049,0.022,65.746,1.433076,1.434624,178054.154329,577666.861298,18422.028125,6175126990.550063,78581.976245,4.265653,25.158375,632.299429,3052.0,2001195.0,17.639062,3711.73963,60.924048,3.453928,25.115606,630.864358,3.0,1554.0,5
CONT_s9_l2a_ElephantsDream,6,2.746906,3233.0,3438801.0,97.0,1.0,0.081,0.007,9.912,2.751041,2.775465,355416.921947,-81762.102937,35451.556701,50973457.999356,7139.569875,0.201389,-1.923143,5.945205,1650.0,47690.0,33.329897,54.119201,7.356575,0.22072,-0.800075,4.065094,4.0,56.0,6481.0,6740513.0,307.0,1.0,0.049,0.007,31.552,1.706027,1.709055,196152.729578,-384810.687649,21956.068404,108898470.312299,10435.442986,0.475287,0.766427,-0.701228,1650.0,47690.0,21.110749,93.497498,9.66941,0.458033,0.940066,0.019893,4.0,56.0,14522.0,15228899.0,737.0,1.0,0.049,0.007,75.761,1.606911,1.608099,181033.803992,502321.50139,20663.363636,5401124574.318672,73492.343644,3.55665,26.610206,714.581027,1650.0,2001195.0,19.704206,3257.792822,57.077078,2.896695,26.411336,707.398741,3.0,1554.0,6
CONT_s9_l2a_ElephantsDream,7,2.864443,3672.0,3957543.0,107.0,1.0,0.096,0.082,10.95,2.845106,2.891356,357253.309853,42624.544272,36986.383178,13404183.464997,3661.172417,0.098987,0.283783,0.613173,27295.0,48030.0,34.317757,11.898078,3.449359,0.100512,0.192221,0.472788,26.0,45.0,8624.0,9157421.0,316.0,1.0,0.006,0.082,32.513,2.247151,2.253233,293222.621696,-956632.270511,28979.18038,122206009.037201,11054.682675,0.38147,-0.425692,-1.231049,1650.0,48030.0,27.291139,103.045128,10.151115,0.371956,-0.260081,-1.017617,4.0,56.0,18194.0,19186442.0,844.0,1.0,0.049,0.082,86.814,1.765387,1.76805,196695.148366,76757.396631,22732.751185,4746789321.110021,68896.94711,3.030735,28.107753,804.604937,1650.0,2001195.0,21.556872,2869.45465,53.567291,2.484929,27.791775,792.476136,3.0,1554.0,7
CONT_s9_l2a_ElephantsDream,8,2.44132,3214.0,3442248.0,109.0,1.0,0.022,0.099,11.17,2.438932,2.465352,322443.521365,162833.698643,31580.256881,835991012.637105,28913.509172,0.915556,8.51993,80.681121,7669.0,312818.0,29.486239,639.196568,25.282337,0.857428,8.587042,81.493868,9.0,276.0,10119.0,10838592.0,313.0,1.0,0.081,0.099,32.239,2.674627,2.68956,352734.999987,-44825.046968,34628.089457,314983070.4471,17747.762407,0.512525,12.213814,191.306278,1650.0,312818.0,32.329073,246.445851,15.698594,0.485587,11.883525,183.872949,4.0,276.0,21408.0,22628690.0,953.0,1.0,0.049,0.099,98.088,1.842802,1.845583,214725.553499,-477171.910006,23744.690451,4306078651.144623,65620.718155,2.763595,28.850009,864.513566,1650.0,2001195.0,22.463799,2619.803573,51.184017,2.278511,28.285103,840.563694,3.0,1554.0,8
CONT_s9_l2a_ElephantsDream,9,1.408233,2208.0,2276020.0,125.0,1.0,0.005,0.037,12.827,1.414885,1.419518,176305.809758,17410.129483,18208.16,7958665.119355,2821.110618,0.154937,-0.760662,1.602882,9002.0,25476.0,17.664,9.192645,3.031938,0.171645,0.00748,1.164684,9.0,29.0,9094.0,9675811.0,341.0,1.0,0.096,0.037,35.155,2.193564,2.201863,277736.979785,772677.958351,28374.812317,337264236.470554,18364.755279,0.64722,10.915913,166.890468,7669.0,312818.0,26.668622,260.869277,16.151448,0.605635,10.8076,164.658207,9.0,276.0,23616.0,24904710.0,1078.0,1.0,0.049,0.037,111.019,1.793238,1.794627,224600.050961,-816681.938332,23102.699443,3810363134.817657,61728.138922,2.671902,30.665795,977.485629,1650.0,2001195.0,21.907236,2319.16316,48.157691,2.198255,30.050844,949.784569,3.0,1554.0,9
