run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
CONT_s9_throughput_ElephantsDream,0,0.0,1789801649.817,1789801659.817,1.053057,0.244927,0.260798,1.65001,36.496418,44.984927,0.0,0,0.0,0.0,0.0,0,1324366,1331,5,98
CONT_s9_throughput_ElephantsDream,1,10.0,1789801659.817,1789801669.817,1.921306,8.86051,0.0,89.032833,22.903036,42.716308,0.0,0,0.0,0.0,0.0,0,2418232,2164,5,98
CONT_s9_throughput_ElephantsDream,2,20.0,1789801669.817,1789801679.817,0.717711,0.640072,0.0,2.036456,15.859335,63.258523,0.0,0,0.0,0.0,0.0,0,912279,926,3,99
CONT_s9_throughput_ElephantsDream,3,30.0,1789801679.817,1789801689.817,1.220796,0.284529,0.472437,1.762646,14.917866,17.185753,0.0,0,0.0,0.0,0.0,0,1536387,1531,3,98
CONT_s9_throughput_ElephantsDream,4,40.0,1789801689.817,1789801699.817,1.223567,0.339791,0.238596,2.219202,15.825102,18.564062,0.0,0,0.0,0.0,0.0,0,1540609,1500,5,98
CONT_s9_throughput_ElephantsDream,5,50.0,1789801699.817,1789801709.817,1.024255,0.485705,0.0,1.661946,21.980353,41.272575,0.0,0,0.0,0.0,0.0,0,1291267,1311,5,98
CONT_s9_throughput_ElephantsDream,6,60.0,1789801709.817,1789801719.817,0.712464,0.977063,0.0,2.943162,8.082879,37.806467,0.0,0,0.0,0.0,0.0,0,898753,946,3,98
CONT_s9_throughput_ElephantsDream,7,70.0,1789801719.817,1789801729.817,2.856672,0.355912,1.993243,3.85032,6.810924,7.71748,0.0,0,0.0,0.0,0.0,0,3607296,3351,3,98
CONT_s9_throughput_ElephantsDream,8,80.0,1789801729.817,1789801739.817,2.859846,0.271344,2.198837,3.682471,9.586452,15.672755,0.0,0,0.0,0.0,0.0,0,3616077,3358,5,98
CONT_s9_throughput_ElephantsDream,9,90.0,1789801739.817,1789801749.817,1.903802,0.850269,0.712256,6.422282,11.314033,14.987231,0.0,0,0.0,0.0,0.0,0,2409607,2282,3,98
CONT_s9_throughput_ElephantsDream,10,100.0,1789801749.817,1789801759.817,1.409985,0.237978,0.728682,2.092415,13.192938,15.169641,0.0,0,0.0,0.0,0.0,0,1783401,1734,3,98
CONT_s9_throughput_ElephantsDream,11,110.0,1789801759.817,1789801769.817,1.412049,0.338819,0.464062,2.322326,16.958342,34.1026,0.0,0,0.0,0.0,0.0,0,1789625,1728,5,98
CONT_s9_throughput_ElephantsDream,12,120.0,1789801769.817,1789801779.817,1.41786,0.27049,0.528092,2.232193,24.861736,35.606761,0.0,0,0.0,0.0,0.0,0,1780713,1751,5,97
CONT_s9_throughput_ElephantsDream,13,130.0,1789801779.817,1789801789.817,1.254579,0.496974,0.0,2.212948,11.515611,14.936121,0.0,0,0.0,0.0,0.0,0,1590744,1575,3,98
CONT_s9_throughput_ElephantsDream,14,140.0,1789801789.817,1789801799.817,0.533691,0.517918,0.0,1.638917,23.350726,98.181806,0.0,0,0.0,0.0,0.0,0,670229,758,3,97
CONT_s9_throughput_ElephantsDream,15,150.0,1789801799.817,1789801809.817,0.570881,0.417195,0.0,1.557756,27.136588,89.00439,0.0,0,0.0,0.0,0.0,0,724690,801,3,98
CONT_s9_throughput_ElephantsDream,16,160.0,1789801809.817,1789801819.817,0.681979,0.375058,0.0,1.537485,26.110239,61.476411,0.0,0,0.0,0.0,0.0,0,855979,966,3,97
CONT_s9_throughput_ElephantsDream,17,170.0,1789801819.817,1789801829.817,0.770924,1.307951,0.0,5.81944,10.743093,32.071561,0.0,0,0.0,0.0,0.0,0,977375,1003,3,98
CONT_s9_throughput_ElephantsDream,18,180.0,1789801829.817,1789801839.817,4.322702,1.72781,0.0,5.86058,5.030347,5.721328,0.0,0,0.0,0.0,0.0,0,5482613,5040,3,98
CONT_s9_throughput_ElephantsDream,19,190.0,1789801839.817,1789801849.817,3.751644,2.181322,0.0,5.793218,4.062952,9.509043,0.0,0,0.0,0.0,0.0,0,4710094,4310,4,97
