run_id,window_index,t_start,mean_o22,stall_s,label
CONT_s9_throughput_OfForestAndMen,0,0.0,3.8795,4.379,Critical
CONT_s9_throughput_OfForestAndMen,1,10.0,3.7862,0,Good
CONT_s9_throughput_OfForestAndMen,2,20.0,3.7423,0,Good
CONT_s9_throughput_OfForestAndMen,3,30.0,3.7423,0,Good
CONT_s9_throughput_OfForestAndMen,4,40.0,3.9662,0,Good
CONT_s9_throughput_OfForestAndMen,5,50.0,3.8076,0,Good
CONT_s9_throughput_OfForestAndMen,6,60.0,3.8079,0,Good
CONT_s9_throughput_OfForestAndMen,7,70.0,3.8453,0,Good
CONT_s9_throughput_OfForestAndMen,8,80.0,4.0883,0,Excellent
CONT_s9_throughput_OfForestAndMen,9,90.0,4.1218,0,Excellent
CONT_s9_throughput_OfForestAndMen,10,100.0,4.1274,0,Excellent
CONT_s9_throughput_OfForestAndMen,11,110.0,4.0887,0,Excellent
CONT_s9_throughput_OfForestAndMen,12,120.0,3.5966,0,Good
CONT_s9_throughput_OfForestAndMen,13,130.0,3.4536,0,Good
CONT_s9_throughput_OfForestAndMen,14,140.0,3.8079,0,Good
CONT_s9_throughput_OfForestAndMen,15,150.0,3.8079,0,Good
CONT_s9_throughput_OfForestAndMen,16,160.0,3.8598,0,Good
CONT_s9_throughput_OfForestAndMen,17,170.0,3.7806,0,Good
CONT_s9_throughput_OfForestAndMen,18,180.0,3.7776,0,Good
CONT_s9_throughput_OfForestAndMen,19,190.0,3.7776,0,Good
CONT_s9_throughput_OfForestAndMen,20,200.0,4.2254,0,Excellent
CONT_s9_throughput_OfForestAndMen,21,210.0,4.2777,0,Excellent
CONT_s9_throughput_OfForestAndMen,22,220.0,4.2749,0,Excellent
CONT_s9_throughput_OfForestAndMen,23,230.0,4.2749,0,Excellent
CONT_s9_throughput_OfForestAndMen,24,240.0,4.3199,0,Excellent
CONT_s9_throughput_OfForestAndMen,25,250.0,4.2858,0,Excellent
CONT_s9_throughput_OfForestAndMen,26,260.0,4.2749,0,Excellent
CONT_s9_throughput_OfForestAndMen,27,270.0,4.2749,0,Excellent
CONT_s9_throughput_OfForestAndMen,28,280.0,4.2866,0,Excellent
CONT_s9_throughput_OfForestAndMen,29,290.0,4.1805,0,Excellent
