run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
S4C_TearsOfSteel_rep1,1787126706.916,1.0001,0,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787126707.947,1.0313,0,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787126708.979,1.0314,0,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787126710.01,1.0315,5129,10,0,23833791.6,274572462.4,2
S4C_TearsOfSteel_rep1,1787126711.042,1.0319,679,5,0,11260339.2,29621116.7,3
S4C_TearsOfSteel_rep1,1787126712.093,1.0515,57426,54,0,43679789.0,282443695.7,4
S4C_TearsOfSteel_rep1,1787126713.143,1.0495,323092,245,0,10887760.0,298435246.8,4
S4C_TearsOfSteel_rep1,1787126714.189,1.046,1036052,774,0,3257305.4,299400050.1,6
S4C_TearsOfSteel_rep1,1787126715.237,1.048,3200905,2380,0,26819.4,300402215.7,2
S4C_TearsOfSteel_rep1,1787126716.282,1.0446,1059311,792,0,18487073.6,298822762.6,2
S4C_TearsOfSteel_rep1,1787126717.329,1.0473,10260474,7642,0,154133.9,300016893.3,3
S4C_TearsOfSteel_rep1,1787126718.376,1.0471,1645434,1224,0,3003760.8,302721727.7,4
S4C_TearsOfSteel_rep1,1787126719.423,1.047,99922,74,0,24367589.9,299456142.7,2
S4C_TearsOfSteel_rep1,1787126720.473,1.05,446,1,0,358383193.0,0,1
S4C_TearsOfSteel_rep1,1787126721.523,1.0498,105416,78,0,39931749.9,300080812.7,2
S4C_TearsOfSteel_rep1,1787126722.574,1.0513,844004,637,0,3030302.1,299226164.2,2
S4C_TearsOfSteel_rep1,1787126723.609,1.0352,248852,175,0,3746010.2,299395131.9,2
S4C_TearsOfSteel_rep1,1787126724.643,1.0333,446,1,0,125613335.0,0,1
S4C_TearsOfSteel_rep1,1787126725.676,1.0333,484924,359,0,3866075.3,300181872.6,2
S4C_TearsOfSteel_rep1,1787126726.715,1.0388,1214004,902,0,3570514.3,299543075.4,2
S4C_TearsOfSteel_rep1,1787126727.763,1.048,0,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787126728.81,1.0476,446,1,0,149752193.0,0,1
S4C_TearsOfSteel_rep1,1787126729.858,1.0479,1546896,1150,0,104408.8,299939992.5,2
S4C_TearsOfSteel_rep1,1787126730.909,1.0505,608522,448,0,3261869.3,299395410.7,2
