run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,rtt_ns,active_flows
S5A_ElephantsDream_rep1,1787130154.278,1.0001,0,0,0,0,0,0
S5A_ElephantsDream_rep1,1787130155.332,1.0541,0,0,0,0,0,0
S5A_ElephantsDream_rep1,1787130156.383,1.0512,0,0,0,0,0,0
S5A_ElephantsDream_rep1,1787130157.44,1.0574,5673,11,0,32965448.6,191843902.6,2
S5A_ElephantsDream_rep1,1787130158.5,1.0596,0,0,0,0,0,0
S5A_ElephantsDream_rep1,1787130159.556,1.0559,113503,92,0,5555617.7,98598143.1,2
S5A_ElephantsDream_rep1,1787130160.616,1.06,916156,1098,17,3642948.7,96436401.3,2
S5A_ElephantsDream_rep1,1787130161.671,1.0552,443632,521,13,11397257.1,96638426.6,4
S5A_ElephantsDream_rep1,1787130162.73,1.0585,209856,187,3,17568240.1,98807870.2,2
S5A_ElephantsDream_rep1,1787130163.786,1.0567,211484,192,2,15584550.7,98775192.0,2
S5A_ElephantsDream_rep1,1787130164.843,1.0565,214836,169,0,13566324.9,99422556.2,2
S5A_ElephantsDream_rep1,1787130165.904,1.0612,270320,234,2,20147886.3,99003371.6,2
S5A_ElephantsDream_rep1,1787130166.964,1.0594,195840,212,7,20970574.0,97572951.3,2
S5A_ElephantsDream_rep1,1787130168.023,1.0594,86780,86,2,27174435.8,97575875.7,4
S5A_ElephantsDream_rep1,1787130169.083,1.0601,408408,471,15,4743961.8,98047928.4,2
S5A_ElephantsDream_rep1,1787130170.144,1.0613,179972,187,11,25098395.2,97863753.0,2
S5A_ElephantsDream_rep1,1787130171.208,1.0634,214495,190,2,14634876.1,98988919.6,2
S5A_ElephantsDream_rep1,1787130172.264,1.0565,137292,106,0,16770150.1,99648835.5,2
S5A_ElephantsDream_rep1,1787130173.321,1.0569,106235,108,5,27343139.7,97885599.9,2
S5A_ElephantsDream_rep1,1787130174.381,1.0602,90420,92,4,39879528.3,98146219.8,2
S5A_ElephantsDream_rep1,1787130175.442,1.0602,55084,55,2,40975051.1,98422262.3,2
S5A_ElephantsDream_rep1,1787130176.508,1.0668,53608,54,2,42850883.1,98194593.6,2
S5A_ElephantsDream_rep1,1787130177.57,1.0612,101965,79,0,21219971.1,99663004.0,2
S5A_ElephantsDream_rep1,1787130178.612,1.0428,76664,79,4,36696087.6,98005546.9,2
S5A_ElephantsDream_rep1,1787130179.652,1.0395,89884,84,2,28735097.4,98639135.3,2
S5A_ElephantsDream_rep1,1787130180.694,1.0421,73224,69,3,35732400.6,98571181.0,2
S5A_ElephantsDream_rep1,1787130181.736,1.0417,58098,62,3,44593839.3,96902732.1,2
S5A_ElephantsDream_rep1,1787130182.792,1.0567,136391,153,4,25377098.4,98758224.5,4
S5A_ElephantsDream_rep1,1787130183.849,1.0564,96044,90,6,33549239.9,98641580.8,2
S5A_ElephantsDream_rep1,1787130184.906,1.0576,89960,83,2,34093738.1,98629894.6,2
S5A_ElephantsDream_rep1,1787130185.969,1.0631,55160,56,7,51963594.2,98075772.1,2
S5A_ElephantsDream_rep1,1787130187.031,1.0617,53755,49,2,38796686.4,98516556.7,2
S5A_ElephantsDream_rep1,1787130188.071,1.0398,105060,96,2,29634569.5,98685321.1,2
S5A_ElephantsDream_rep1,1787130189.112,1.0414,67880,76,5,47826446.7,97427999.4,2
S5A_ElephantsDream_rep1,1787130190.152,1.0398,36788,38,2,54827630.4,98346361.9,2
S5A_ElephantsDream_rep1,1787130191.193,1.0405,100686,78,0,24619514.9,99214916.2,2
S5A_ElephantsDream_rep1,1787130192.252,1.0591,147332,129,2,23962069.9,99206495.0,2
S5A_ElephantsDream_rep1,1787130193.294,1.042,99496,99,4,29884612.2,98255774.1,2
S5A_ElephantsDream_rep1,1787130194.335,1.041,114673,103,2,21381853.1,98423446.1,2
S5A_ElephantsDream_rep1,1787130195.375,1.0398,73856,75,3,40498743.8,97944257.0,2
S5A_ElephantsDream_rep1,1787130196.415,1.0405,79120,71,3,35145499.9,98763133.2,2
S5A_ElephantsDream_rep1,1787130197.477,1.0618,68612,65,3,33494467.2,98731979.8,2
S5A_ElephantsDream_rep1,1787130198.537,1.0598,111029,106,2,31792347.3,98446195.0,2
