run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
S3B_OfForestAndMen_rep1,0,0.0,1787119488.178,1787119498.178,2.337475,0.678948,1.142906,3.235036,9.021045,17.635989,30.592734,1280,94.886676,96.534193,1.314803,11,3322357,4184,4,11
S3B_OfForestAndMen_rep1,1,10.0,1787119498.178,1787119508.178,4.139702,3.023797,0.0,8.610619,2.979539,12.02006,36.94165,2754,92.446358,96.361328,2.97255,9,5881029,7455,2,11
S3B_OfForestAndMen_rep1,2,20.0,1787119508.178,1787119518.178,2.271295,2.868943,0.0,7.952386,41.574506,402.617371,40.021517,1488,88.873051,95.863562,3.251967,6,2936815,3718,2,10
S3B_OfForestAndMen_rep1,3,30.0,1787119518.178,1787119528.178,2.350912,3.310581,0.0,9.438733,1.470916,10.740868,40.528427,1718,89.765452,99.90269,5.112312,5,3348280,4239,2,11
S3B_OfForestAndMen_rep1,4,40.0,1787119528.178,1787119538.178,12.950462,18.747577,0.0,56.779566,17.630516,183.644816,43.672244,10180,84.365339,89.381277,5.819136,7,18407899,23310,2,11
S3B_OfForestAndMen_rep1,5,50.0,1787119538.178,1787119548.178,6.327345,9.150688,0.0,21.104753,27.059964,255.612412,42.259778,4376,89.497748,103.466947,6.879004,6,8182509,10355,2,10
S3B_OfForestAndMen_rep1,6,60.0,1787119548.178,1787119558.178,5.687765,8.328342,0.0,20.765573,17.653162,191.17073,41.630817,4258,93.971364,114.200502,10.219918,5,8089862,10228,2,11
S3B_OfForestAndMen_rep1,7,70.0,1787119558.178,1787119568.178,4.020349,8.029346,0.0,21.184802,41.180942,227.217422,40.196214,2909,79.994867,94.982396,22.851015,5,5723667,7237,3,11
S3B_OfForestAndMen_rep1,8,80.0,1787119568.178,1787119578.178,3.191776,1.496143,0.853344,5.869764,6.226002,16.991437,32.009211,1668,94.105104,95.564093,1.18913,10,4129861,5211,2,10
S3B_OfForestAndMen_rep1,9,90.0,1787119578.178,1787119588.178,8.991358,5.81739,0.0,20.578312,1.433456,2.715511,40.515006,6561,91.453327,95.299334,2.964909,9,12785613,16194,2,11
