n,mechanism,block_size,body_bytes,blocks,latency_ms,frame_seq,check,t_rel_ms
1,rfc9177,1024,67500,66,45.238,66,0,285
2,rfc9177,1024,67032,66,51.634,67,0,336
3,rfc9177,1024,67436,66,50.896,68,0,387
4,rfc9177,1024,69031,68,48.406,69,0,436
5,rfc9177,1024,69031,68,52.615,69,0,488
6,rfc9177,1024,70953,70,49.028,70,0,537
7,rfc9177,1024,71699,71,51.569,71,0,589
8,rfc9177,1024,71981,71,53.534,72,0,642
9,rfc9177,1024,71981,71,61.106,72,0,704
10,rfc9177,1024,72293,71,85.130,73,0,789
11,rfc9177,1024,72358,71,82.305,75,0,871
12,rfc9177,1024,70813,70,46.617,76,0,918
13,rfc9177,1024,69346,68,47.867,77,0,965
14,rfc9177,1024,69346,68,49.933,77,0,1015
15,rfc9177,1024,68461,67,52.000,78,0,1067
16,rfc9177,1024,68252,67,48.347,79,0,1116
17,rfc9177,1024,67433,66,52.795,80,0,1169
18,rfc9177,1024,67433,66,51.571,80,0,1220
19,rfc9177,1024,67049,66,49.409,81,0,1270
20,rfc9177,1024,66715,66,47.672,82,0,1317
21,rfc9177,1024,68471,67,50.351,83,0,1368
22,rfc9177,1024,68471,67,55.462,83,0,1423
23,rfc9177,1024,70549,69,67.663,84,0,1491
24,rfc9177,1024,72018,71,53.276,85,0,1544
25,rfc9177,1024,71796,71,55.329,86,0,1599
26,rfc9177,1024,72046,71,53.183,87,0,1653
27,rfc9177,1024,72975,72,56.720,88,0,1709
28,rfc9177,1024,72975,72,49.775,88,0,1759
29,rfc9177,1024,72641,71,58.483,89,0,1818
30,rfc9177,1024,71459,70,53.557,90,0,1871
31,rfc9177,1024,69749,69,49.573,91,0,1921
32,rfc9177,1024,68535,67,51.347,92,0,1972
33,rfc9177,1024,68535,67,51.277,92,0,2023
34,rfc9177,1024,68463,67,60.504,93,0,2084
35,rfc9177,1024,68456,67,50.875,94,0,2135
36,rfc9177,1024,67434,66,50.782,95,0,2185
37,rfc9177,1024,67306,66,51.775,96,0,2237
38,rfc9177,1024,67306,66,47.085,96,0,2284
39,rfc9177,1024,68015,67,53.851,97,0,2338
40,rfc9177,1024,69726,69,46.940,98,0,2385
41,rfc9177,1024,71588,70,52.556,99,0,2438
42,rfc9177,1024,71588,70,55.584,99,0,2493
43,rfc9177,1024,71831,71,59.474,100,0,2553
44,rfc9177,1024,71894,71,56.648,101,0,2609
45,rfc9177,1024,72190,71,48.434,102,0,2658
46,rfc9177,1024,72733,72,60.655,103,0,2719
47,rfc9177,1024,72377,71,50.716,104,0,2769
48,rfc9177,1024,72377,71,53.595,104,0,2823
49,rfc9177,1024,70831,70,47.923,105,0,2871
50,rfc9177,1024,68926,68,44.987,106,0,2916
51,rfc9177,1024,68926,68,51.261,106,0,2967
52,rfc9177,1024,68100,67,58.432,107,0,3026
53,rfc9177,1024,68401,67,51.854,108,0,3077
54,rfc9177,1024,67602,67,45.585,109,0,3123
55,rfc9177,1024,66963,66,49.686,110,0,3173
56,rfc9177,1024,66963,66,45.926,110,0,3219
57,rfc9177,1024,67658,67,57.427,111,0,3276
58,rfc9177,1024,68583,67,50.645,112,0,3327
59,rfc9177,1024,71169,70,51.462,113,0,3378
60,rfc9177,1024,71169,70,47.703,113,0,3426
61,rfc9177,1024,71632,70,45.098,114,0,3471
62,rfc9177,1024,71999,71,53.300,115,0,3524
63,rfc9177,1024,72297,71,49.925,116,0,3574
64,rfc9177,1024,72297,71,53.300,116,0,3628
65,rfc9177,1024,72417,71,50.655,117,0,3678
66,rfc9177,1024,72674,71,52.882,118,0,3731
67,rfc9177,1024,71525,70,56.157,119,0,3787
68,rfc9177,1024,69099,68,48.309,120,0,3836
69,rfc9177,1024,69099,68,56.496,120,0,3892
70,rfc9177,1024,68705,68,54.279,121,0,3946
71,rfc9177,1024,68086,67,50.505,122,0,3997
72,rfc9177,1024,67821,67,60.796,123,0,4058
73,rfc9177,1024,67269,66,54.635,124,0,4112
74,rfc9177,1024,66885,66,48.717,125,0,4161
75,rfc9177,1024,66885,66,46.567,125,0,4208
76,rfc9177,1024,68817,68,45.240,126,0,4253
77,rfc9177,1024,70434,69,46.749,127,0,4300
78,rfc9177,1024,70434,69,50.524,127,0,4350
79,rfc9177,1024,71899,71,48.647,128,0,4399
80,rfc9177,1024,71899,71,53.645,129,0,4452
81,rfc9177,1024,71870,71,51.825,130,0,4504
82,rfc9177,1024,71870,71,48.570,130,0,4553
83,rfc9177,1024,72628,71,53.712,131,0,4607
84,rfc9177,1024,72376,71,48.976,132,0,4656
85,rfc9177,1024,71623,70,50.418,133,0,4706
86,rfc9177,1024,71623,70,49.161,133,0,4755
87,rfc9177,1024,70022,69,42.029,134,0,4797
88,rfc9177,1024,68555,67,48.095,135,0,4845
89,rfc9177,1024,68555,67,46.531,135,0,4892
90,rfc9177,1024,68261,67,48.701,136,0,4941
91,rfc9177,1024,67656,67,45.520,137,0,4986
92,rfc9177,1024,67355,66,43.702,138,0,5030
93,rfc9177,1024,67355,66,48.771,138,0,5079
94,rfc9177,1024,66648,66,40.662,139,0,5119
95,rfc9177,1024,67515,66,44.684,140,0,5164
96,rfc9177,1024,67515,66,47.567,140,0,5212
97,rfc9177,1024,69874,69,49.743,141,0,5261
98,rfc9177,1024,71546,70,48.322,142,0,5310
99,rfc9177,1024,71546,70,47.328,142,0,5357
100,rfc9177,1024,71857,71,59.761,143,0,5417
