run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples
S2B_BigBuckBunny_rep1,0,0.0,1786964868.967,1786964878.967,0.693596,0.034077,0.620648,0.740004,958913,641,1,11
S2B_BigBuckBunny_rep1,1,10.0,1786964878.967,1786964888.967,0.694579,0.01576,0.6693,0.716062,960548,643,1,11
S2B_BigBuckBunny_rep1,2,20.0,1786964888.967,1786964898.967,0.696657,0.0209,0.645728,0.727996,963242,644,1,11
S2B_BigBuckBunny_rep1,3,30.0,1786964898.967,1786964908.967,0.689752,0.026293,0.630079,0.727924,867046,579,1,10
S2B_BigBuckBunny_rep1,4,40.0,1786964908.967,1786964918.967,0.645074,0.183123,0.06917,0.75194,891856,596,1,11
S2B_BigBuckBunny_rep1,5,50.0,1786964918.967,1786964928.967,0.695607,0.029983,0.644199,0.762056,961867,644,1,11
S2B_BigBuckBunny_rep1,6,60.0,1786964928.967,1786964938.967,0.678031,0.089671,0.410558,0.762056,937678,627,1,11
S2B_BigBuckBunny_rep1,7,70.0,1786964938.967,1786964948.967,0.269,0.303965,0.0,0.752014,371881,250,1,11
S2B_BigBuckBunny_rep1,8,80.0,1786964948.967,1786964958.967,0.273978,0.327475,0.0,0.727202,378796,255,1,11
S2B_BigBuckBunny_rep1,9,90.0,1786964958.967,1786964968.967,0.694309,0.033344,0.632647,0.75179,959919,643,1,11
S2B_BigBuckBunny_rep1,10,100.0,1786964968.967,1786964978.967,0.697051,0.016514,0.65316,0.718695,963831,644,1,11
S2B_BigBuckBunny_rep1,11,110.0,1786964978.967,1786964988.967,0.692737,0.022926,0.656259,0.739071,957890,639,1,11
S2B_BigBuckBunny_rep1,12,120.0,1786964988.967,1786964998.967,0.69666,0.032166,0.637732,0.739416,963951,644,1,11
S2B_BigBuckBunny_rep1,13,130.0,1786964998.967,1786965008.967,0.637735,0.144917,0.202884,0.763799,881723,589,1,11
S2B_BigBuckBunny_rep1,14,140.0,1786965008.967,1786965018.967,0.551737,0.229178,0.0,0.763799,763130,510,1,11
S2B_BigBuckBunny_rep1,15,150.0,1786965018.967,1786965028.967,0.533117,0.198159,0.079841,0.728141,737055,493,1,11
S2B_BigBuckBunny_rep1,16,160.0,1786965028.967,1786965038.967,0.55821,0.207552,0.0,0.728141,773075,517,1,11
S2B_BigBuckBunny_rep1,17,170.0,1786965038.967,1786965048.967,0.577982,0.217183,0.0,0.740004,799808,534,1,11
S2B_BigBuckBunny_rep1,18,180.0,1786965048.967,1786965058.967,0.574661,0.206044,0.0,0.704127,794450,530,1,11
S2B_BigBuckBunny_rep1,19,190.0,1786965058.967,1786965068.967,0.583045,0.138248,0.301868,0.71599,806630,539,1,11
S2B_BigBuckBunny_rep1,20,200.0,1786965068.967,1786965078.967,0.67252,0.061618,0.496035,0.715919,845442,565,1,10
S2B_BigBuckBunny_rep1,21,210.0,1786965078.967,1786965088.967,0.487523,0.232507,0.0,0.739563,674302,451,1,11
S2B_BigBuckBunny_rep1,22,220.0,1786965088.967,1786965098.967,0.534672,0.21146,0.0,0.728141,739107,494,1,11
S2B_BigBuckBunny_rep1,23,230.0,1786965098.967,1786965108.967,0.627541,0.157918,0.193087,0.73409,868358,581,1,11
S2B_BigBuckBunny_rep1,24,240.0,1786965108.967,1786965118.967,0.583679,0.237563,0.0,0.799841,806861,540,1,11
S2B_BigBuckBunny_rep1,25,250.0,1786965118.967,1786965128.967,0.595009,0.175581,0.119379,0.728141,822992,550,1,11
S2B_BigBuckBunny_rep1,26,260.0,1786965128.967,1786965138.967,0.654559,0.102827,0.432065,0.763799,905495,606,1,11
S2B_BigBuckBunny_rep1,27,270.0,1786965138.967,1786965148.967,0.528216,0.221217,0.107399,0.739857,730316,489,1,11
S2B_BigBuckBunny_rep1,28,280.0,1786965148.967,1786965158.967,0.431751,0.313788,0.003182,0.75179,597835,401,1,11
S2B_BigBuckBunny_rep1,29,290.0,1786965158.967,1786965168.967,0.000668,0.00126,0.0,0.003182,840,3,1,10
