run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,total_bytes,total_packets,active_flows,n_samples
S3A_RedBullPlayStreets_rep1,0,0.0,1786972370.701,1786972381.818,0.233972,0.062802,0.106983,0.320665,354631,243,2,12
S3A_RedBullPlayStreets_rep1,1,10.0,1786972381.818,1786972391.818,0.258708,0.077416,0.115031,0.392157,359428,242,1,11
S3A_RedBullPlayStreets_rep1,2,20.0,1786972391.818,1786972401.818,0.29353,0.207127,0.0,0.562582,407845,274,1,11
S3A_RedBullPlayStreets_rep1,3,30.0,1786972401.818,1786972411.818,0.123834,0.225874,0.0,0.608852,171965,116,1,11
S3A_RedBullPlayStreets_rep1,4,40.0,1786972411.818,1786972421.818,0.371675,0.664294,0.0,2.319612,516393,347,1,11
S3A_RedBullPlayStreets_rep1,5,50.0,1786972421.818,1786972431.818,1.196488,0.405922,0.723032,2.319612,1662556,1113,2,11
S3A_RedBullPlayStreets_rep1,6,60.0,1786972431.818,1786972441.818,1.204018,0.406703,0.0,1.543943,1673275,1119,1,11
S3A_RedBullPlayStreets_rep1,7,70.0,1786972441.818,1786972451.818,0.397511,0.450272,0.0,1.128825,552061,369,1,11
S3A_RedBullPlayStreets_rep1,8,80.0,1786972451.818,1786972461.818,0.392075,0.328084,0.0,1.163435,495248,335,2,10
S3A_RedBullPlayStreets_rep1,9,90.0,1786972461.818,1786972471.818,0.218222,0.084063,0.094955,0.356189,303349,203,1,11
S3A_RedBullPlayStreets_rep1,10,100.0,1786972471.818,1786972482.603,0.601454,0.264756,0.189967,0.984676,912167,610,1,12
S3A_RedBullPlayStreets_rep1,11,110.0,1786972482.603,1786972492.603,0.493407,0.177747,0.0,0.707237,686064,460,1,11
S3A_RedBullPlayStreets_rep1,12,120.0,1786972492.603,1786972502.603,0.356048,0.473351,0.0,1.399216,494714,334,2,11
S3A_RedBullPlayStreets_rep1,13,130.0,1786972502.603,1786972512.603,0.470332,0.564322,0.0,1.399216,653799,439,1,11
S3A_RedBullPlayStreets_rep1,14,140.0,1786972512.603,1786972522.603,0.812864,1.193954,0.0,3.67807,1130160,757,2,11
S3A_RedBullPlayStreets_rep1,15,150.0,1786972522.603,1786972532.603,2.766419,0.737537,1.909169,4.105201,3500467,2336,1,10
S3A_RedBullPlayStreets_rep1,16,160.0,1786972532.603,1786972542.603,1.77717,0.353808,1.279058,2.196932,2469952,1648,1,11
S3A_RedBullPlayStreets_rep1,17,170.0,1786972542.603,1786972552.603,1.316028,0.151051,1.068778,1.603643,1828123,1220,1,11
S3A_RedBullPlayStreets_rep1,18,180.0,1786972552.603,1786972562.603,1.014007,0.219805,0.736123,1.481314,1409262,941,1,11
S3A_RedBullPlayStreets_rep1,19,190.0,1786972562.603,1786972572.603,1.72532,0.269357,1.453426,2.194326,2398693,1602,1,11
S3A_RedBullPlayStreets_rep1,20,200.0,1786972572.603,1786972582.603,1.709359,0.202375,1.424098,1.982784,2376236,1588,1,11
S3A_RedBullPlayStreets_rep1,21,210.0,1786972582.603,1786972592.603,0.793066,1.026547,0.0,3.116737,1102502,737,1,11
S3A_RedBullPlayStreets_rep1,22,220.0,1786972592.603,1786972602.603,1.248305,1.656479,0.0,5.544123,1734921,1158,1,11
S3A_RedBullPlayStreets_rep1,23,230.0,1786972602.603,1786972612.603,3.980699,0.80919,2.098718,5.544123,5535206,3693,1,11
S3A_RedBullPlayStreets_rep1,24,240.0,1786972612.603,1786972622.603,3.188548,1.717073,0.0,5.282422,4435302,2959,1,11
S3A_RedBullPlayStreets_rep1,25,250.0,1786972622.603,1786972632.603,2.317031,1.120687,0.118554,3.810466,2926703,1953,1,10
S3A_RedBullPlayStreets_rep1,26,260.0,1786972632.603,1786972642.603,3.141879,0.936059,1.128489,4.514405,4368568,2915,1,11
S3A_RedBullPlayStreets_rep1,27,270.0,1786972642.603,1786972652.603,2.670757,0.334606,2.020594,3.158207,3711489,2476,1,11
S3A_RedBullPlayStreets_rep1,28,280.0,1786972652.603,1786972662.603,2.189501,0.54506,1.329508,3.169767,3043827,2030,1,11
S3A_RedBullPlayStreets_rep1,29,290.0,1786972662.603,1786972672.603,0.625561,0.692551,0.000317,1.53831,870180,586,1,11
