run_id,t_epoch,dt,delta_bytes,delta_packets,active_flows
S3B_Valkaama_rep1,1786975197.195,1.0001,0,0,0
S3B_Valkaama_rep1,1786975198.204,1.0091,0,0,0
S3B_Valkaama_rep1,1786975199.212,1.0079,0,0,0
S3B_Valkaama_rep1,1786975200.22,1.0079,5300,6,1
S3B_Valkaama_rep1,1786975201.228,1.008,52,1,1
S3B_Valkaama_rep1,1786975202.24,1.0125,216018,147,1
S3B_Valkaama_rep1,1786975203.252,1.0117,322500,215,1
S3B_Valkaama_rep1,1786975204.264,1.0116,236230,159,2
S3B_Valkaama_rep1,1786975205.275,1.0117,361500,241,1
S3B_Valkaama_rep1,1786975206.287,1.0117,349825,234,1
S3B_Valkaama_rep1,1786975207.307,1.0201,393000,262,1
S3B_Valkaama_rep1,1786975208.318,1.0115,440080,294,1
S3B_Valkaama_rep1,1786975209.331,1.0122,450787,301,1
S3B_Valkaama_rep1,1786975210.343,1.0122,511078,341,1
S3B_Valkaama_rep1,1786975211.355,1.0121,651261,435,1
S3B_Valkaama_rep1,1786975212.367,1.0123,673772,450,1
S3B_Valkaama_rep1,1786975213.38,1.0124,590782,394,1
S3B_Valkaama_rep1,1786975214.392,1.0123,78000,52,1
S3B_Valkaama_rep1,1786975215.404,1.0123,778955,520,1
S3B_Valkaama_rep1,1786975216.416,1.0122,0,0,0
S3B_Valkaama_rep1,1786975217.429,1.0123,0,0,0
S3B_Valkaama_rep1,1786975218.441,1.0127,51000,34,1
S3B_Valkaama_rep1,1786975219.454,1.0125,876799,585,1
S3B_Valkaama_rep1,1786975220.467,1.0125,0,0,0
S3B_Valkaama_rep1,1786975221.479,1.0125,0,0,0
S3B_Valkaama_rep1,1786975222.491,1.0123,150000,100,1
S3B_Valkaama_rep1,1786975223.504,1.0123,785121,524,1
S3B_Valkaama_rep1,1786975224.516,1.0129,0,0,0
S3B_Valkaama_rep1,1786975225.531,1.0141,0,0,0
S3B_Valkaama_rep1,1786975226.543,1.0122,0,0,0
S3B_Valkaama_rep1,1786975227.554,1.0115,354249,237,1
S3B_Valkaama_rep1,1786975228.566,1.0114,0,0,0
S3B_Valkaama_rep1,1786975229.578,1.0121,0,0,0
S3B_Valkaama_rep1,1786975230.59,1.0117,324000,216,1
S3B_Valkaama_rep1,1786975231.602,1.0127,824979,550,1
S3B_Valkaama_rep1,1786975232.615,1.0125,0,0,0
S3B_Valkaama_rep1,1786975233.627,1.0121,0,0,0
S3B_Valkaama_rep1,1786975234.641,1.0136,15000,10,1
S3B_Valkaama_rep1,1786975235.652,1.0119,1221344,815,1
S3B_Valkaama_rep1,1786975236.664,1.0115,0,0,0
S3B_Valkaama_rep1,1786975237.676,1.012,0,0,0
S3B_Valkaama_rep1,1786975238.688,1.0118,165000,110,1
S3B_Valkaama_rep1,1786975239.7,1.0127,1199505,800,1
S3B_Valkaama_rep1,1786975240.713,1.0128,0,0,0
S3B_Valkaama_rep1,1786975241.725,1.0116,0,0,0
S3B_Valkaama_rep1,1786975242.736,1.0116,493342,329,1
S3B_Valkaama_rep1,1786975243.748,1.0116,5684513,3790,1
S3B_Valkaama_rep1,1786975244.76,1.0116,5045290,3365,1
S3B_Valkaama_rep1,1786975245.773,1.014,7831283,5222,1
S3B_Valkaama_rep1,1786975246.785,1.0117,7905670,5273,1
S3B_Valkaama_rep1,1786975247.797,1.012,9030156,6022,1
S3B_Valkaama_rep1,1786975248.809,1.0118,7601695,5070,1
S3B_Valkaama_rep1,1786975249.821,1.0118,0,0,0
S3B_Valkaama_rep1,1786975250.833,1.0117,3042442,2029,1
S3B_Valkaama_rep1,1786975251.844,1.0118,0,0,0
S3B_Valkaama_rep1,1786975252.856,1.0122,0,0,0
S3B_Valkaama_rep1,1786975253.869,1.0122,0,0,0
S3B_Valkaama_rep1,1786975254.881,1.0125,409500,273,1
S3B_Valkaama_rep1,1786975255.894,1.0126,2681253,1788,1
S3B_Valkaama_rep1,1786975256.906,1.0125,0,0,0
S3B_Valkaama_rep1,1786975257.919,1.0123,0,0,0
S3B_Valkaama_rep1,1786975258.931,1.0123,874500,583,1
S3B_Valkaama_rep1,1786975259.944,1.0127,2155590,1438,1
S3B_Valkaama_rep1,1786975260.956,1.0122,0,0,0
S3B_Valkaama_rep1,1786975261.967,1.0114,0,0,0
S3B_Valkaama_rep1,1786975262.98,1.0122,2277000,1518,1
S3B_Valkaama_rep1,1786975263.995,1.0151,577805,386,1
S3B_Valkaama_rep1,1786975265.007,1.0126,0,0,0
S3B_Valkaama_rep1,1786975266.021,1.0132,0,0,0
S3B_Valkaama_rep1,1786975267.033,1.0126,261000,174,1
