run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,active_flows
S2A_OfForestAndMen_rep1,1787066515.317,1.0001,0,0,0,0,0
S2A_OfForestAndMen_rep1,1787066516.321,1.0041,0,0,0,0,0
S2A_OfForestAndMen_rep1,1787066517.325,1.0039,0,0,0,0,0
S2A_OfForestAndMen_rep1,1787066518.329,1.0039,9854,12,0,145590.0,2
S2A_OfForestAndMen_rep1,1787066519.333,1.0041,382105,255,0,6021335.0,1
S2A_OfForestAndMen_rep1,1787066520.337,1.0041,378341,253,0,6196363.0,1
S2A_OfForestAndMen_rep1,1787066521.341,1.004,374783,250,0,5968205.0,1
S2A_OfForestAndMen_rep1,1787066522.345,1.0041,378040,253,0,6953274.3,2
S2A_OfForestAndMen_rep1,1787066523.35,1.0041,43311,29,0,6157194.0,1
S2A_OfForestAndMen_rep1,1787066524.354,1.0041,345000,230,0,6010377.0,1
S2A_OfForestAndMen_rep1,1787066525.358,1.0042,382500,255,0,5710001.0,1
S2A_OfForestAndMen_rep1,1787066526.362,1.0041,375000,250,0,5446317.0,1
S2A_OfForestAndMen_rep1,1787066527.366,1.0041,199919,134,0,10367504.0,1
S2A_OfForestAndMen_rep1,1787066528.37,1.0041,387000,258,0,5821993.0,1
S2A_OfForestAndMen_rep1,1787066529.374,1.0043,366000,244,0,5995645.0,1
S2A_OfForestAndMen_rep1,1787066530.378,1.0041,369000,246,0,5962299.0,1
S2A_OfForestAndMen_rep1,1787066531.383,1.0042,222734,149,0,5783487.0,1
S2A_OfForestAndMen_rep1,1787066532.387,1.0043,367337,245,0,5960875.0,1
S2A_OfForestAndMen_rep1,1787066533.391,1.0042,375000,250,0,5971779.0,1
S2A_OfForestAndMen_rep1,1787066534.395,1.0041,369000,246,0,6050757.0,1
S2A_OfForestAndMen_rep1,1787066535.399,1.0043,218034,146,0,10886218.0,1
S2A_OfForestAndMen_rep1,1787066536.404,1.0041,373500,249,0,6163439.0,1
S2A_OfForestAndMen_rep1,1787066537.408,1.0041,369000,246,0,5760499.0,1
S2A_OfForestAndMen_rep1,1787066538.412,1.0041,369000,246,0,5721087.0,1
S2A_OfForestAndMen_rep1,1787066539.416,1.004,213188,143,0,7249427.0,1
S2A_OfForestAndMen_rep1,1787066540.42,1.0043,370500,247,0,5799607.0,1
S2A_OfForestAndMen_rep1,1787066541.424,1.0043,384000,256,0,5951987.0,1
S2A_OfForestAndMen_rep1,1787066542.429,1.0043,270685,181,0,5773554.0,1
S2A_OfForestAndMen_rep1,1787066543.433,1.0042,0,0,0,0,0
S2A_OfForestAndMen_rep1,1787066544.437,1.0043,304500,203,0,6103696.0,1
S2A_OfForestAndMen_rep1,1787066545.442,1.0045,373500,249,0,6487976.0,1
S2A_OfForestAndMen_rep1,1787066546.446,1.0043,48783,33,0,6382408.0,1
S2A_OfForestAndMen_rep1,1787066547.45,1.0042,0,0,0,0,0
S2A_OfForestAndMen_rep1,1787066548.454,1.0043,352500,235,0,5902572.0,1
S2A_OfForestAndMen_rep1,1787066549.459,1.0043,367500,245,0,5793229.0,1
S2A_OfForestAndMen_rep1,1787066550.463,1.0043,210885,141,0,5830531.0,1
S2A_OfForestAndMen_rep1,1787066551.467,1.0042,0,0,0,0,0
S2A_OfForestAndMen_rep1,1787066552.472,1.0048,375000,250,0,5997117.0,1
S2A_OfForestAndMen_rep1,1787066553.476,1.0043,375000,250,0,6031592.0,1
S2A_OfForestAndMen_rep1,1787066554.481,1.0043,361500,241,0,5865778.0,1
S2A_OfForestAndMen_rep1,1787066555.485,1.0045,221368,148,0,7389124.0,1
S2A_OfForestAndMen_rep1,1787066556.489,1.0042,378000,252,0,5821699.0,1
S2A_OfForestAndMen_rep1,1787066557.494,1.0043,367500,245,0,5720889.0,1
S2A_OfForestAndMen_rep1,1787066558.498,1.0043,372000,248,0,5586167.0,1
S2A_OfForestAndMen_rep1,1787066559.502,1.0044,43609,30,0,5785158.0,1
S2A_OfForestAndMen_rep1,1787066560.507,1.0043,345000,230,0,5976715.0,1
S2A_OfForestAndMen_rep1,1787066561.511,1.0043,378000,252,0,5822138.0,1
S2A_OfForestAndMen_rep1,1787066562.515,1.0043,378000,252,0,5519525.0,1
S2A_OfForestAndMen_rep1,1787066563.52,1.0043,366676,245,0,5954594.0,1
S2A_OfForestAndMen_rep1,1787066564.524,1.0043,373500,249,0,6286719.0,1
S2A_OfForestAndMen_rep1,1787066565.528,1.0045,378000,252,0,5815463.0,1
S2A_OfForestAndMen_rep1,1787066566.533,1.0043,207706,139,0,6104868.0,1
