run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,active_flows
S2D_OfForestAndMen_rep1,1787073087.895,1.0001,0,0,0,0,0
S2D_OfForestAndMen_rep1,1787073088.904,1.0092,0,0,0,0,0
S2D_OfForestAndMen_rep1,1787073089.913,1.0092,0,0,0,0,0
S2D_OfForestAndMen_rep1,1787073090.922,1.0091,9854,12,0,150038.5,2
S2D_OfForestAndMen_rep1,1787073091.931,1.0092,25337,17,0,68875031.0,1
S2D_OfForestAndMen_rep1,1787073092.941,1.0093,19500,13,2,103519991.0,1
S2D_OfForestAndMen_rep1,1787073093.95,1.0092,21018,18,0,79900107.6,3
S2D_OfForestAndMen_rep1,1787073094.959,1.0093,18040,13,0,116229818.9,2
S2D_OfForestAndMen_rep1,1787073095.968,1.0093,18000,12,0,134950400.0,1
S2D_OfForestAndMen_rep1,1787073096.978,1.0094,18000,12,0,149249792.0,1
S2D_OfForestAndMen_rep1,1787073097.987,1.0097,21000,14,0,156519876.0,1
S2D_OfForestAndMen_rep1,1787073098.997,1.0093,18000,12,0,159190659.0,1
S2D_OfForestAndMen_rep1,1787073100.006,1.0088,18325,13,0,155158366.0,1
S2D_OfForestAndMen_rep1,1787073101.014,1.0088,18000,12,0,158565126.0,1
S2D_OfForestAndMen_rep1,1787073102.023,1.0089,21000,14,0,160295887.0,1
S2D_OfForestAndMen_rep1,1787073103.032,1.0088,18034,13,0,151392554.0,1
S2D_OfForestAndMen_rep1,1787073104.042,1.0094,18000,12,0,156827015.0,1
S2D_OfForestAndMen_rep1,1787073105.051,1.0095,18933,13,0,153321378.0,1
S2D_OfForestAndMen_rep1,1787073106.06,1.0094,18000,12,0,157715876.0,1
S2D_OfForestAndMen_rep1,1787073107.07,1.0094,19819,14,0,152326522.0,1
S2D_OfForestAndMen_rep1,1787073108.079,1.0095,18000,12,0,157256939.0,1
S2D_OfForestAndMen_rep1,1787073109.089,1.0097,18000,12,0,159529855.0,1
S2D_OfForestAndMen_rep1,1787073110.099,1.0101,19909,14,0,155240074.0,1
S2D_OfForestAndMen_rep1,1787073111.108,1.0089,18000,12,0,158600527.0,1
S2D_OfForestAndMen_rep1,1787073112.117,1.009,21000,14,0,160312305.0,1
S2D_OfForestAndMen_rep1,1787073113.126,1.0088,18514,13,0,154884567.0,1
S2D_OfForestAndMen_rep1,1787073114.135,1.0089,18000,12,0,158437920.0,1
S2D_OfForestAndMen_rep1,1787073115.144,1.0089,18000,12,0,160076833.0,1
S2D_OfForestAndMen_rep1,1787073116.153,1.0095,20307,14,0,158848216.0,1
