run_id,window_index,t_start,mean_o22,stall_s,label
S2D_TearsOfSteel_rep1,0,0.0,2.7725,2.302,Critical
S2D_TearsOfSteel_rep1,1,10.0,2.4969,27.716,Critical
S2D_TearsOfSteel_rep1,2,20.0,2.4969,8.185,Critical
S2D_TearsOfSteel_rep1,3,30.0,2.4969,15.056,Critical
S2D_TearsOfSteel_rep1,4,40.0,2.4969,16.645,Critical
S2D_TearsOfSteel_rep1,5,50.0,2.4969,15.444,Critical
S2D_TearsOfSteel_rep1,6,60.0,2.4969,0,Degraded
S2D_TearsOfSteel_rep1,7,70.0,2.4969,14.978,Critical
S2D_TearsOfSteel_rep1,8,80.0,2.4969,9.101,Critical
S2D_TearsOfSteel_rep1,9,90.0,2.4969,12.951,Critical
S2D_TearsOfSteel_rep1,10,100.0,2.4969,9.163,Critical
S2D_TearsOfSteel_rep1,11,110.0,2.4969,13.731,Critical
S2D_TearsOfSteel_rep1,12,120.0,2.4969,14.221,Critical
S2D_TearsOfSteel_rep1,13,130.0,2.4969,6.269,Critical
