run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,active_flows
S3B_RedBullPlayStreets_rep1,1787077782.77,1.0001,0,0,0,0,0
S3B_RedBullPlayStreets_rep1,1787077783.784,1.0137,0,0,0,0,0
S3B_RedBullPlayStreets_rep1,1787077784.797,1.0137,0,0,0,0,0
S3B_RedBullPlayStreets_rep1,1787077785.813,1.0152,6228,7,4,10577780.0,1
S3B_RedBullPlayStreets_rep1,1787077786.827,1.0145,111023,78,33,6638155.0,1
S3B_RedBullPlayStreets_rep1,1787077787.841,1.0143,292080,195,120,6823733.0,1
S3B_RedBullPlayStreets_rep1,1787077788.856,1.0143,274989,184,116,5543934.0,1
S3B_RedBullPlayStreets_rep1,1787077789.871,1.0152,369878,248,151,6213856.0,2
S3B_RedBullPlayStreets_rep1,1787077790.885,1.0142,498000,332,215,4596914.0,1
S3B_RedBullPlayStreets_rep1,1787077791.9,1.0152,487975,326,227,3082274.0,1
S3B_RedBullPlayStreets_rep1,1787077792.916,1.0153,756000,504,357,2846544.0,1
S3B_RedBullPlayStreets_rep1,1787077793.932,1.0163,941780,628,480,1433815.0,1
S3B_RedBullPlayStreets_rep1,1787077794.948,1.0162,1207224,805,639,1659509.0,1
S3B_RedBullPlayStreets_rep1,1787077795.964,1.0156,1985839,1324,1121,876777.0,1
S3B_RedBullPlayStreets_rep1,1787077796.98,1.0165,1309886,874,764,2771340.0,1
S3B_RedBullPlayStreets_rep1,1787077797.997,1.0171,0,0,0,0,0
S3B_RedBullPlayStreets_rep1,1787077799.012,1.0146,154500,103,56,4264251.0,1
S3B_RedBullPlayStreets_rep1,1787077800.028,1.0162,991970,662,535,1744885.0,1
S3B_RedBullPlayStreets_rep1,1787077801.042,1.0141,0,0,0,0,0
S3B_RedBullPlayStreets_rep1,1787077802.057,1.0149,0,0,0,0,0
S3B_RedBullPlayStreets_rep1,1787077803.072,1.0151,478500,319,244,1294992.0,1
S3B_RedBullPlayStreets_rep1,1787077804.086,1.0142,486401,325,262,2302165.0,1
S3B_RedBullPlayStreets_rep1,1787077805.102,1.0158,0,0,0,0,0
