run_id,t_epoch,dt,delta_bytes,delta_packets,delta_reorder,jitter_ns,active_flows
S4C_TearsOfSteel_rep1,1787084670.622,1.0001,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084671.637,1.0158,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084672.652,1.0143,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084673.666,1.0145,4582,5,0,16657730.0,1
S4C_TearsOfSteel_rep1,1787084674.681,1.0149,104,2,0,0.0,2
S4C_TearsOfSteel_rep1,1787084675.705,1.0236,53400,39,0,36708629.9,2
S4C_TearsOfSteel_rep1,1787084676.727,1.0221,315870,212,0,1690905.0,2
S4C_TearsOfSteel_rep1,1787084677.748,1.0212,518746,347,0,346944.3,2
S4C_TearsOfSteel_rep1,1787084678.773,1.0247,3660796,2442,0,140417.9,2
S4C_TearsOfSteel_rep1,1787084679.793,1.0202,1050587,702,0,18538662.0,1
S4C_TearsOfSteel_rep1,1787084680.815,1.0217,10132109,6755,0,21368.0,1
S4C_TearsOfSteel_rep1,1787084681.836,1.0214,1571039,1048,0,2563550.2,2
S4C_TearsOfSteel_rep1,1787084682.859,1.0231,152428,102,0,793458.0,1
S4C_TearsOfSteel_rep1,1787084683.881,1.0221,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084684.905,1.0234,45000,30,0,56966667.0,1
S4C_TearsOfSteel_rep1,1787084685.928,1.0234,420000,280,0,26993.0,1
S4C_TearsOfSteel_rep1,1787084686.954,1.0264,619446,413,0,122791.0,1
S4C_TearsOfSteel_rep1,1787084687.977,1.0229,98713,66,0,1608682.0,1
S4C_TearsOfSteel_rep1,1787084688.999,1.0214,202500,135,0,181917.0,1
S4C_TearsOfSteel_rep1,1787084690.022,1.023,1376509,918,0,20595.0,1
S4C_TearsOfSteel_rep1,1787084691.045,1.0236,98714,66,0,1202799.0,1
S4C_TearsOfSteel_rep1,1787084692.068,1.0227,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084693.092,1.0243,153000,102,0,967544.0,1
S4C_TearsOfSteel_rep1,1787084694.115,1.023,1428000,952,0,21675.0,1
S4C_TearsOfSteel_rep1,1787084695.138,1.0225,646788,433,0,1141879.0,1
S4C_TearsOfSteel_rep1,1787084696.161,1.023,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084697.184,1.0227,945000,630,0,19882.0,1
S4C_TearsOfSteel_rep1,1787084698.207,1.0238,1002488,669,0,1411448.0,1
S4C_TearsOfSteel_rep1,1787084699.23,1.0223,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084700.252,1.0223,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084701.274,1.022,922500,615,0,3605730.0,1
S4C_TearsOfSteel_rep1,1787084702.296,1.0221,1028485,686,0,5310658.0,1
S4C_TearsOfSteel_rep1,1787084703.317,1.0212,98682,66,0,1550107.0,1
S4C_TearsOfSteel_rep1,1787084704.339,1.0215,124500,83,0,1076395.0,1
S4C_TearsOfSteel_rep1,1787084705.362,1.0226,2082000,1388,0,21415.0,1
S4C_TearsOfSteel_rep1,1787084706.383,1.0218,1552276,1036,0,1086649.0,1
S4C_TearsOfSteel_rep1,1787084707.406,1.0224,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084708.429,1.0229,117000,78,0,2090012.0,1
S4C_TearsOfSteel_rep1,1787084709.452,1.0232,2673193,1783,0,18519.0,1
S4C_TearsOfSteel_rep1,1787084710.474,1.0225,98736,66,0,755419.0,1
S4C_TearsOfSteel_rep1,1787084711.497,1.0231,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084712.52,1.0225,1239,1,0,157254345.0,1
S4C_TearsOfSteel_rep1,1787084713.543,1.0234,2722500,1815,0,18827.0,1
S4C_TearsOfSteel_rep1,1787084714.567,1.0235,10607324,7072,0,21346.0,1
S4C_TearsOfSteel_rep1,1787084715.586,1.0192,12636867,8426,0,2480737.8,2
S4C_TearsOfSteel_rep1,1787084716.61,1.0241,8533961,5691,0,39602.4,2
S4C_TearsOfSteel_rep1,1787084717.63,1.0198,8466441,5646,0,42104.4,2
S4C_TearsOfSteel_rep1,1787084718.651,1.021,7834888,5224,0,21980.9,2
S4C_TearsOfSteel_rep1,1787084719.672,1.0209,2891714,1928,0,76965.8,2
S4C_TearsOfSteel_rep1,1787084720.694,1.0218,13576903,9053,0,29915.0,2
S4C_TearsOfSteel_rep1,1787084721.716,1.0228,15392088,10263,0,32785.3,2
S4C_TearsOfSteel_rep1,1787084722.738,1.0212,5571043,3715,0,78099.3,2
S4C_TearsOfSteel_rep1,1787084723.759,1.021,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084724.78,1.0212,553500,369,0,26455.0,1
S4C_TearsOfSteel_rep1,1787084725.801,1.0211,5002159,3335,0,20821.0,1
S4C_TearsOfSteel_rep1,1787084726.822,1.0215,98475,66,0,1589460.0,1
S4C_TearsOfSteel_rep1,1787084727.847,1.0249,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084728.87,1.0224,735000,490,0,35656.0,1
S4C_TearsOfSteel_rep1,1787084729.892,1.0224,3885000,2590,0,20372.0,1
S4C_TearsOfSteel_rep1,1787084730.914,1.0221,1425584,951,0,970546.0,1
S4C_TearsOfSteel_rep1,1787084731.938,1.0237,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084732.961,1.0232,1491000,994,0,22085.0,1
S4C_TearsOfSteel_rep1,1787084733.984,1.0228,2367156,1579,0,21746.0,1
S4C_TearsOfSteel_rep1,1787084735.008,1.0236,98939,66,0,1554858.0,1
S4C_TearsOfSteel_rep1,1787084736.031,1.023,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084737.052,1.0219,346500,231,0,4656774.0,1
S4C_TearsOfSteel_rep1,1787084738.076,1.0236,2670000,1780,0,1463958.0,1
S4C_TearsOfSteel_rep1,1787084739.101,1.0252,2803881,1870,0,28900.0,1
S4C_TearsOfSteel_rep1,1787084740.123,1.022,98694,66,0,1360448.0,1
S4C_TearsOfSteel_rep1,1787084741.144,1.0212,1480500,987,0,25447.0,1
S4C_TearsOfSteel_rep1,1787084742.166,1.0219,4635346,3091,0,19218.0,1
S4C_TearsOfSteel_rep1,1787084743.188,1.0213,98508,66,0,1385643.0,1
S4C_TearsOfSteel_rep1,1787084744.213,1.0249,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084745.234,1.0218,166500,111,0,6923539.0,1
S4C_TearsOfSteel_rep1,1787084746.256,1.0213,3093000,2062,0,21031.0,1
S4C_TearsOfSteel_rep1,1787084747.277,1.0212,2173934,1450,0,23343.0,1
S4C_TearsOfSteel_rep1,1787084748.298,1.0215,586213,391,0,30099.0,1
S4C_TearsOfSteel_rep1,1787084749.321,1.0225,3868987,2580,0,21411.0,1
S4C_TearsOfSteel_rep1,1787084750.342,1.0213,98714,66,0,1407810.0,1
S4C_TearsOfSteel_rep1,1787084751.366,1.024,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084752.389,1.023,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084753.412,1.0232,472500,315,0,4111655.0,1
S4C_TearsOfSteel_rep1,1787084754.435,1.0225,3235641,2158,0,4117945.0,1
S4C_TearsOfSteel_rep1,1787084755.458,1.0237,99009,68,0,49721071.8,2
S4C_TearsOfSteel_rep1,1787084756.482,1.0231,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084757.504,1.0227,45144,33,0,13872313.2,2
S4C_TearsOfSteel_rep1,1787084758.527,1.0231,900000,600,0,30785.0,1
S4C_TearsOfSteel_rep1,1787084759.55,1.0232,4499223,3000,0,20780.0,1
S4C_TearsOfSteel_rep1,1787084760.574,1.0232,98570,66,0,1397202.0,1
S4C_TearsOfSteel_rep1,1787084761.599,1.0257,6215451,4144,0,19875.0,1
S4C_TearsOfSteel_rep1,1787084762.621,1.0215,98723,66,0,1166026.0,1
S4C_TearsOfSteel_rep1,1787084763.644,1.0227,0,0,0,0,0
S4C_TearsOfSteel_rep1,1787084764.665,1.0217,706500,471,0,21691.0,1
S4C_TearsOfSteel_rep1,1787084765.686,1.0212,5061620,3375,0,21400.0,1
