run_id,window_index,t_media_start,t_wall_start,t_wall_end,throughput_mean,throughput_std,throughput_min,throughput_max,jitter_mean,jitter_p95,reorder_rate,reorder_count,rtt_mean,rtt_p95,rtt_std,rtt_samples,total_bytes,total_packets,active_flows,n_samples
S2A_OfForestAndMen_rep1,0,0.0,1787108510.217,1787108520.217,2.585623,0.642449,1.026144,3.121175,9.741086,14.034318,0.0,0,98.753002,122.965428,17.318732,11,3584873,2719,4,11
S2A_OfForestAndMen_rep1,1,10.0,1787108520.217,1787108530.217,2.655897,0.457971,1.807884,3.121175,8.799202,10.227102,0.0,0,109.623503,124.079284,7.355438,11,3680859,2769,2,11
S2A_OfForestAndMen_rep1,2,20.0,1787108530.217,1787108540.217,1.951615,1.262229,0.0,3.078356,7.623172,18.629369,0.0,0,104.533944,121.499191,14.322914,8,2705504,2040,2,11
S2A_OfForestAndMen_rep1,3,30.0,1787108540.217,1787108550.217,2.360767,0.868495,0.0,3.014331,9.765942,20.815057,0.0,0,104.822894,125.368735,12.845397,10,3271703,2465,2,11
S2A_OfForestAndMen_rep1,4,40.0,1787108550.217,1787108560.217,2.504649,0.774406,0.649197,3.048728,12.128023,22.300959,0.0,0,103.6881,122.992276,20.43593,11,3471600,2603,2,11
S2A_OfForestAndMen_rep1,5,50.0,1787108560.217,1787108570.217,2.983116,0.056532,2.901959,3.097067,8.616045,9.653565,0.0,0,112.672966,120.793077,5.444948,11,4136238,3118,2,11
S2A_OfForestAndMen_rep1,6,60.0,1787108570.217,1787108580.217,2.976088,0.056832,2.882761,3.049464,8.913272,10.46056,0.0,0,109.362575,117.455825,5.775646,11,4130312,3115,2,11
S2A_OfForestAndMen_rep1,7,70.0,1787108580.217,1787108590.217,2.615937,0.654093,1.094932,3.085873,12.495114,41.553941,0.0,0,104.388357,120.952144,13.329048,11,3626855,2751,2,11
S2A_OfForestAndMen_rep1,8,80.0,1787108590.217,1787108600.217,2.045036,1.069208,0.161087,3.096847,10.11059,20.797593,0.0,0,98.803823,124.484314,17.363441,10,2578233,1935,2,10
S2A_OfForestAndMen_rep1,9,90.0,1787108600.217,1787108610.217,2.988438,0.076295,2.870001,3.10917,8.946553,10.376517,0.0,0,109.415754,126.866786,8.62321,11,4142202,3116,2,11
S2A_OfForestAndMen_rep1,10,100.0,1787108610.217,1787108620.217,2.994634,0.069101,2.858419,3.110664,8.630376,9.658839,0.0,0,108.97129,116.25491,4.292949,11,4151877,3124,2,11
S2A_OfForestAndMen_rep1,11,110.0,1787108620.217,1787108630.217,2.930971,0.190172,2.346032,3.03927,8.194669,9.889206,0.0,0,110.454097,122.816751,8.866594,11,4063795,3044,2,11
S2A_OfForestAndMen_rep1,12,120.0,1787108630.217,1787108640.217,2.228329,1.016045,0.0,3.08413,11.25274,36.701991,0.0,0,97.027976,124.514882,33.336456,10,3090002,2330,2,11
S2A_OfForestAndMen_rep1,13,130.0,1787108640.217,1787108650.217,2.586356,0.866479,0.0,3.084542,8.442777,13.21646,0.0,0,110.060476,124.514882,9.578058,10,3587760,2700,2,11
S2A_OfForestAndMen_rep1,14,140.0,1787108650.217,1787108660.217,2.99608,0.0891,2.841532,3.109166,8.759299,9.9522,0.0,0,108.022724,120.118919,6.865151,11,4153186,3127,2,11
S2A_OfForestAndMen_rep1,15,150.0,1787108660.217,1787108670.217,2.994324,0.076616,2.844567,3.099323,9.051118,10.526866,0.0,0,108.850976,123.980465,8.493822,11,4150838,3138,2,11
S2A_OfForestAndMen_rep1,16,160.0,1787108670.217,1787108680.217,2.479644,0.882492,0.242404,3.062172,16.272561,77.345319,0.0,0,97.147971,125.44759,32.802594,11,3437473,2592,2,11
S2A_OfForestAndMen_rep1,17,170.0,1787108680.217,1787108690.217,2.339382,0.988387,0.0,3.112641,8.685235,16.30866,0.0,0,108.654812,128.315417,17.349067,10,3242982,2436,2,11
S2A_OfForestAndMen_rep1,18,180.0,1787108690.217,1787108700.217,2.994327,0.075248,2.897547,3.18845,8.702135,9.582272,0.0,0,109.907977,124.75238,10.240664,11,4154142,3123,2,11
S2A_OfForestAndMen_rep1,19,190.0,1787108700.217,1787108710.217,3.004442,0.068377,2.929377,3.18845,9.10059,9.737733,0.0,0,108.695958,117.631027,5.358869,11,4167324,3143,2,11
S2A_OfForestAndMen_rep1,20,200.0,1787108710.217,1787108720.217,2.43404,0.883279,0.649197,3.068401,11.473089,30.090249,0.0,0,100.022343,121.873991,20.557929,10,3068438,2324,2,10
